goal	target	indicator_code	FirstTS	MainTS	indicator_ref	series	hub_id	n_countries	seriesDescription	TimeSeriesDescription	unit	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_code	sex_desc	age_code	age_desc	location_code	location_desc	educationLevel_code	educationLevel_desc	typeOfProduct_code	typeOfProduct_desc	typeOfSkill_code	typeOfSkill_desc	quantile_code	quantile_desc	modeOfTransportation_code	modeOfTransportation_desc	nameOfInternationalInstitution_code	nameOfInternationalInstitution_desc	causeOfDeath_code	causeOfDeath_desc	disabilityStatus_code	disabilityStatus_desc	typeOfOccupation_code	typeOfOccupation_desc	groundsOfDiscrimination_code	groundsOfDiscrimination_desc	levelStatus_code	levelStatus_desc	migratoryStatus_code	migratoryStatus_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	policyDomains_code	policyDomains_desc	typeOfSpeed_code	typeOfSpeed_desc	activity_code	activity_desc	cities_code	cities_desc	ihrCapacity_code	ihrCapacity_desc	nameOfNonCommunicableDisease_code	nameOfNonCommunicableDisease_desc	policyInstruments_code	policyInstruments_desc	samplingStations_code	samplingStations_desc	substanceUseDisorders_code	substanceUseDisorders_desc	typeOfWasteTreatment_code	typeOfWasteTreatment_desc
2	2.1	C020102	x	x	2.1.2	AG_PRD_FIESSIN	4fafa955701c462dbbdb93d38a83f765	109	Total population in severe food insecurity (thousands of people)	Total population in severe food insecurity	thousand people	2015	2018	1	4	2	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	2.2	C020201	x	x	2.2.1	SH_STA_STUNT	5a63ad2e92ff4a3491d8aaf9794f4fbe	146	Proportion of children moderately or severely stunted (%)	Proportion of children moderately or severely stunted	percent	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.2	C020201	x	x	2.2.1	SH_STA_STUNTN	740994e9fd5d42da9470940d406e0007	146	Children moderately or severely stunted (thousands)	Children moderately or severely stunted	children	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.2	C020202	x	x	2.2.2	SH_STA_WASTE	492afdc8d9ac4b23a282e31d9aa4b817	145	Proportion of children moderately or severely wasted (%)	Proportion of children moderately or severely wasted	percent	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.2	C020202	x	x	2.2.2	SH_STA_WASTEN	5dc4b58c37a04fd5a1aff7fd4269c1bb	145	Children moderately or severely wasted (thousands)	Children moderately or severely wasted	thousand children	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.2	C020202	x	x	2.2.2	SH_STA_OVRWGT	b5fb26ce076d4b40a1ff1aab760a8bbb	144	Proportion of children moderately or severely overweight (%)	Proportion of children moderately or severely overweight	percent	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.2	C020202	x	x	2.2.2	SH_STA_OVRWGTN	04fb88034f964dc388d358fc40e5b020	144	Children moderately or severely overweight (thousands)	Children moderately or severely overweight	thousand children	2000	2019	1	17	1			Y0T4	under 5 years old																																																
2	2.3	C020301	x	x	2.3.1	PD_AGR_SSFP	3ad8ad2b89af470b98e910634a09e42e	11	Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)	Agricultural output per labour day among small-scale food producers	constant 2011 international (PPP) dollars	2005	2016	1	4	0																																																				
2	2.3	C020302	x	x	2.3.2	SI_AGR_SSFP	eacb00bc7a5b482c9516545add368075	38	Average income of small-scale food producers, PPP (constant 2011 international $)	Average income of small-scale food producers	constant 2011 international (PPP) dollars	2004	2016	1	4	0																																																				
2	2.5	C020501	x	x	2.5.1	ER_GRF_ANIMRCNTN	1bba2dc9d506413a82c677cfd12f6dee	184	Number of local breeds for which sufficient genetic resources are stored for reconstitution	Number of local breeds for which sufficient genetic resources are stored for reconstitution	breeds	2010	2019	10	10	0																																																				
2	2.5	C020501	x	x	2.5.1	ER_GRF_PLNTSTOR	802b621a46bf40eb9a2c8f6e4790b372	103	Plant breeds for which sufficient genetic resources are stored (number)	Plant breeds for which sufficient genetic resources are stored	breeds	1995	2019	10	10	0																																																				
2	2.5	C020503	x	x	2.5.2	ER_RSK_LBREDS	f575fc947b2046e29b3dc64686a69ee8	77	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk	percent	2000	2019	2	20	0																																																				
2	2.a	C020a01	x	x	2.a.1	AG_PRD_ORTIND	344952fbc4f84663a34aa2d6eec236f3	200	Agriculture orientation index for government expenditures	Agriculture orientation index for government expenditures	index	2001	2018	1	18	0																																																				
2	2.a	C020a01	x	x	2.a.1	AG_PRD_AGVAS	48ea3381d3464cb1b824d1dd7e0459af	147	Agriculture value added share of GDP (%)	Agriculture value added as a proportion of GDP	percent	2001	2018	1	18	0																																																				
2	2.a	C020a01	x	x	2.a.1	AG_XPD_AGSGB	308afda940eb43afb126bfb14030ddc5	200	Agriculture share of Government Expenditure (%)	Agriculture share of government expenditure	percent	2001	2018	1	18	0																																																				
2	2.a	C020a02	x	x	2.a.2	DC_TOF_AGRL	3d63cd7f64c949dd9fcb969bdf21a258	155	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2018 United States dollars)	Total official flows (disbursements) received for agriculture	millions of constant 2018 dollars	2000	2018	2	19	0																																																				
2	2.b	C020b02	x	x	2.b.1	AG_PRD_XSUBDY	cc3b9b1f98754c4d83a2d7d0e7f99273	33	Agricultural export subsidies (millions of current United States dollars)	Agricultural export subsidies	millions of dollars	1995	2018	4	24	0																																																				
2	2.c	C020c01	x	x	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	64	Indicator of Food Price Anomalies (IFPA), by type of product	Indicator of Food Price Anomalies (IFPA) for rice	index	2016	2017	1	2	1									CPC2_1_113	Rice																																										
2	2.c	C020c01	x	x	2.c.1	AG_FPA_CFPI	484cad4739e24104a3bdc5cde6973351	160	Consumer Food Price Index	Consumer Food Price Index	index	2016	2017	1	2	0																																																				
3	3.1	C030101	x	x	3.1.1	SH_STA_MMR	b7e5eecaaddb495f93d30f8a7e0f75d4	185	Maternal mortality ratio	Maternal mortality ratio	deaths per 100,000 live births	2000	2017	18	18	0																																																				
3	3.1	C030102	x	x	3.1.2	SH_STA_BRTC	e25ad059dcc44372a68c3431b0f8c8a2	188	Proportion of births attended by skilled health personnel (%)	Proportion of births attended by skilled health personnel	percent	1980	2019	1	39	0																																																				
3	3.2	C030201		x	3.2.1	SH_DYN_IMRTN	87906528f0ea45d7b76ae86a6d1d86bd	195	Infant deaths (number)	Infant deaths	deaths	2000	2018	19	19	2	_T	Both sexes	Y0	under 1 year old																																																
3	3.2	C030201		x	3.2.1	SH_DYN_MORT	9052901d7f0946eca284218f313f6600	195	Under-five mortality rate, by sex (deaths per 1,000 live births)	Under-five mortality rate	deaths per 1,000 live births	2000	2018	19	19	2	_T	Both sexes	Y0T4	under 5 years old																																																
3	3.2	C030201		x	3.2.1	SH_DYN_IMRT	6a2512f65a6c4583a5028d3bf8d87005	195	Infant mortality rate (deaths per 1,000 live births)	Infant mortality rate	deaths per 1,000 live births	2000	2018	19	19	2	_T	Both sexes	Y0	under 1 year old																																																
3	3.2	C030201		x	3.2.1	SH_DYN_MORTN	4ae88cd4026b4cd886329d367197c8d5	195	Under-five deaths (number)	Under-five deaths	deaths	2000	2018	19	19	2	_T	Both sexes	Y0T4	under 5 years old																																																
3	3.2	C030202	x	x	3.2.2	SH_DYN_NMRTN	0ac46ff9f0994cbeb0235d084e4f0919	195	Neonatal deaths (number)	Neonatal deaths	deaths	2000	2018	19	19	2	_T	Both sexes	M0	under 1 month old																																																
3	3.2	C030202	x	x	3.2.2	SH_DYN_NMRT	202014290ce64ffdbb7e6bc1e8757f41	195	Neonatal mortality rate (deaths per 1,000 live births)	Neonatal mortality rate	deaths per 1,000 live births	2000	2018	19	19	2	_T	Both sexes	M0	under 1 month old																																																
3	3.3	C030301		x	3.3.1	SH_HIV_INCD	6ab65ae9b70342f28215e6f91f2ee79f	136	Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)	Number of new HIV infections per 1,000 uninfected population	new infections per 1,000 uninfected population	2000	2018	18	19	2	_T	Both sexes	_T	All age ranges or no breaks by age																																																
3	3.3	C030302	x	x	3.3.2	SH_TBS_INCID	d97b709ae96b4ee795f6eb2fdf0638d5	215	Tuberculosis incidence (per 100,000 population)	Tuberculosis incidence	cases per 100,000 population	2000	2018	8	19	0																																																				
3	3.3	C030303	x	x	3.3.3	SH_STA_MALR	3ed440d5ed0645d2b2184f08653d8075	109	Malaria incidence per 1,000 population at risk (per 1,000 population)	Malaria incidence	cases per 1,000 at-risk population	2000	2018	11	11	0																																																				
3	3.3	C030304	x	x	3.3.4	SH_HAP_HBSAG	77a849a34c5647d09be464d0c3250aed	194	Prevalence of hepatitis B surface antigen (HBsAg) (%)	Prevalence of hepatitis B surface antigen (HBsAg)	percent	2015	2015	1	1	1			Y0T4	under 5 years old																																																
3	3.3	C030305	x	x	3.3.5	SH_TRP_INTVN	e13bac22fcde46beaac59381a90d4b23	194	Number of people requiring interventions against neglected tropical diseases (number)	Number of people requiring interventions against neglected tropical diseases	persons	2010	2018	9	9	0																																																				
3	3.4	C030401		x	3.4.1	SH_DTH_NCOM	34d66afd38ce43f888bb8915a97c81e9	183	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease among population 30 to 70 years old	probability	2000	2016	5	5	2	_T	Both sexes	Y30T70	30 to 70 years old																																																
3	3.4	C030401		x	3.4.1	SH_DTH_RNCOM	3b95d9a55ee342f28fdacecf170d366c	183	Number of deaths attributed to non-communicable diseases, by type of disease and sex (number)	Number of deaths attributed to cardiovascular disease	deaths	2000	2016	5	5	2	_T	Both sexes																																									NCD_CARDIO	Cardiovascular disease								
3	3.4	C030402		x	3.4.2	SH_STA_SCIDE	fef6bd2313374421bf8e11d7599216a4	183	Suicide mortality rate, by sex (deaths per 100,000 population)	Suicide mortality rate	deaths per 100,000 population	2000	2016	5	5	1	_T	Both sexes																																																		
3	3.4	C030402		x	3.4.2	SH_STA_SCIDEN	82455bcc859c4632a9cb9f7e311fe967	183	Number of deaths attributed to suicide, by sex (number)	Number of deaths attributed to suicide	deaths	2000	2016	5	5	1	_T	Both sexes																																																		
3	3.5	C030501		x	3.5.1	SH_SUD_ALCOL	3ecfea04cf9541d6acc9d749c43432cf	190	Alcohol use disorders, 12-month prevalence (%)	12-month prevalence of alcohol use disorders	percent	2016	2016	1	1	2	_T	Both sexes	Y_GE15	15 years old and over																																																
3	3.5	C030501		x	3.5.1	SH_SUD_TREAT	9f418014876f4d7a910697b643d6456d	11	Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%)	Coverage of pharmacological, psychosocial and rehabilitation and aftercare services for substance use disorders	percent	2015	2017	1	3	1																																																	_T	Total		
3	3.5	C030502		x	3.5.2	SH_ALC_CONSPT	9321fc4d3030468db59cc6fd4338d281	188	Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol)	Annual alcohol consumption per capita among population aged 15 years and older	litres of pure alcohol	2000	2018	2	5	2	_T	Both sexes	Y_GE15	15 years old and over																																																
3	3.6	C030601	x	x	3.6.1	SH_STA_TRAF	85426d9b29a74d3b9ae41ae6704046d3	195	Death rate due to road traffic injuries (per 100,000 population)	Death rate due to road traffic injuries	deaths per 100,000 population	2000	2016	5	5	0																																																				
3	3.7	C030701	x	x	3.7.1	SH_FPL_MTMM	8bbefcba76b440bc99d369eedf31bfe7	137	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years)	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	percent	2000	2019	1	13	2	F	Female	Y15T49	15 to 49 years old																																																
3	3.7	C030702	x	x	3.7.2	SP_DYN_ADKL	aef421a8c221463abbc7e222f3b278c5	222	Adolescent birth rate (per 1,000 women aged 15-19 years)	Adolescent birth rate	births per 1,000 women aged 15-19 years	2000	2018	1	19	2	F	Female	Y15T19	15 to 19 years old																																																
3	3.8	C030801	x	x	3.8.1	SH_ACS_UNHC	55a343e2234c4b3ab3d0cc449229d1fc	183	Universal health coverage (UHC) service coverage index	Universal health coverage (UHC) index	index	2000	2017	5	5	0																																																				
3	3.8	C030802	x	x	3.8.2	SH_XPD_EARN25	cd0f5a6e99b54f929a0447a8c9311383	147	Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%)	Proportion of population with household expenditures on health greater than 25% of total household expenditure or income	percent	2000	2018	1	17	0																																																				
3	3.8	C030802	x	x	3.8.2	SH_XPD_EARN10	1f7d8dc98e5a4ef3a165aa5582d78316	147	Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income (%)	Proportion of population with household expenditures on health greater than 10% of total household expenditure or income	percent	2000	2018	1	17	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_HAP_ASMORT	d357f2d3055d475c8692bffed2b94a7a	147	Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population)	Age-standardized mortality rate attributed to household air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_STA_AIRP	6ff409193661484696600255227888f4	183	Crude death rate attributed to household and ambient air pollution (deaths per 100,000 population)	Crude death rate attributed to household and ambient air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_STA_ASAIRP	c38c683ad4704a2996eb557215532029	183	Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population)	Age-standardized mortality rate attributed to household and ambient air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_AAP_MORT	3da0b72a3240451f94f4c434da8fec4f	183	Crude death rate attributed to ambient air pollution (deaths per 100,000 population)	Crude death rate attributed to ambient air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_AAP_ASMORT	e4bdf511d53a46d7915241d1150b0825	183	Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)	Age-standardized mortality rate attributed to ambient air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
3	3.9	C030901	x	x	3.9.1	SH_HAP_MORT	2c24d737ba0c461b9d15bbf74ec2e6d2	146	Crude death rate attributed to household air pollution (deaths per 100,000 population)	Crude death rate attributed to household air pollution	deaths per 100,000 population	2016	2016	1	1	0																																																				
