countryProfile,goal,target,indicator,seriesCode,hubId,dashboardId,seriesDesc,sliceDesc,ageCode,locationCode,sexCode,boundsCode,educationLevelCode,typeOfProductCode,typeOfMobileTechnologyCode,typeOfSpeedCode,zero.removal,Text.type,unit1,unit2,DA2.1,DA2.2,DA3.1,DA3.2,Down,Up,Threshold
1,11,11.1,11.1.1,EN_LND_SLUM,27d1c1e5ebc6410597603e9bf52829f3,,Proportion of urban population living in slums (%),Proportion of urban population living in slums (percent),,,,,,,,,0,1,%,,The proportion of the urban population living in slums was ,,The proportion of the urban population living in slums ,,declined from ,increased from ,
1,12,12.2,12.2.2,EN_MAT_DOMCMPC,b224da3fb5df4cbe83dc8b20de71dc89,,"Domestic material consumption per capita, by type of raw material (tonnes)",Domestic material consumption per capita (tonnes),,,,,,RAW,,,1,1, metric tons per capita,,Domestic material consumption was approximately ,,Domestic material consumption,, decreased from , increased from ,
1,15,15.1,15.1.1,AG_LND_FRST,2f7acf84fdad47d183f7e2041b474e02,,Forest area as a proportion of total land area (%),Forest area as a proportion of total land area (percent),,,,,,,,,1,1,%,,The proportion of land area covered by forest was approximately ,,Land area covered by forest ,,declined from ,increased from ,
1,17,17.4,17.4.1,DT_TDS_DECT,e061fd67f9f84933addcd27ca6154354,,Debt service as a proportion of exports of goods and services (%),Debt service as a proportion of exports of goods and services (percent),,,,,,,,,1,1,%,%,Debt service as a proportion of exports of goods and services was approximately,,Debt service as a proportion of exports of goods and services,, declined from , increased from ,
1,1,1.1,1.1.1,SI_POV_EMP1,254e360b5e434665b99233dd1d6747cb,,"Employed population below international poverty line, by sex and age (%)",Employed population below international poverty line (percent),Y_GE15,,_T,,,,,,1,2,% ,%,of the country's workers and their families were living on less than 1.90 US dollars per person per day,, of the country's workers and their families were living on less than 1.90 US dollars per person per day,, down from , up from ,
1,2,2.2,2.2.1,SH_STA_STUNT,c4bdefff898c4183a01dcdc6d085ff26,,Proportion of children moderately or severely stunted (%),Proportion of children under 5 years of age who are moderately or severely stunted (percent),Y0T4,,,_T,,,,,1,2,% ,%,of children under 5 years of age had stunted growth,,of children under age 5 had stunted growth,, a decline from , up from ,
1,4,4.2,4.2.2,SE_PRE_PARTN,8bb6d84e7a5a4253ba5dba1c9144439b,,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",Participation rate in organized learning (one year before the official primary entry age),,,_T,,,,,,0,2,% ,,of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school,,of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school,, down from , up from ,
1,5,5.3,5.3.1,SP_DYN_MRBF18,c87948a7e6ab4aec92abffb70bab4e7c,,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),Proportion of women aged 20-24 years who were married or in a union before age 18 (percent),Y20T24,,F,,,,,,0,2,% ,,of women between 20 to 24 years of age reported having been married before their eighteenth birthday,,of women aged 20 to 24 reported having been married before their eighteenth birthday,, down from , up from ,
1,6,6.1,6.1.1,SH_H2O_SAFE,db95089773654b6898ef4af01c440140,,"Proportion of population using safely managed drinking water services, by urban/rural (%)",Proportion of population using safely managed drinking water services (percent),,_T,,,,,,,0,2,% ,,"of the population used a ""safely managed"" drinking water service—an improved source located on premises, available when needed and free from contamination",,"of the population used a ""safely managed"" drinking water service—an improved source located on premises, available when needed and free from contamination",, down from , up from ,
,6,6.2,6.2.1,SH_SAN_DEFECT,6d84807ee23f4ddbaf2b9ba0768c8a12,,"Proportion of population practicing open defecation, by urban/rural (%)",Proportion of population practicing open defecation (percent),,_T,,,,,,,1,2,% ,,of the population practiced open defecation,,of the population practiced open defecation,, down from , up from ,
1,6,6.2,6.2.1,SH_SAN_SAFE,961186c499834224bb09e32f68092855,,"Proportion of population using safely managed sanitation services, by urban/rural (%)",Proportion of population using safely managed sanitation services (percent),,_T,,,,,,,0,2,% ,,"of the population used a ""safely managed"" sanitation service—a basic facility that safely disposes of human waste",,"of the population used a ""safely managed"" sanitation service—a basic facility that safely disposes of human waste",, down from , up from ,
1,9,9.c,9.c.1,IT_MOB_NTWK,bcf2ed2c448a4a3bafe7ea8951d4a259,,"Proportion of population covered by a mobile network, by technology (%)",Proportion of population covered by at least a 2G mobile network (percent),,,,,,,AL2G,,0,2,% ,,of the population was in range of at least a second-generation (2G) cellular signal,,of the population was in range of at least a second-generation (2G) cellular signal,, down from , up from ,
1,10,10.4,10.4.1,SL_EMP_GTOTL,54681bb23185478eb1e01e147bf32f5d,,"Labour share of GDP, comprising wages and social protection transfers (%)","Labour share of GDP, comprising wages and social protection transfers (percent)",,,,,,,,,0,2,% ,,"of GDP was from labour, comprising wages and social protection transfers",,"of GDP was from labour, comprising wages and social protection transfers",, a decline from , an increase from ,
1,16,16.9,16.9.1,SG_REG_BRTH,359a92a4ce7545a7a6614a31440f9f5a,,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),Proportion of children under 5 years of age whose births have been registered with a civil authority (percent),Y0T4,,,,,,,,0,3,%,,there were about , of children under age 5 whose births were registered with a civil authority,there were about , of children under age 5 whose births were registered with a civil authority,,,
1,4,4.5,4.5.1,SE_GPI_MATACH,9e748f270b064e76b062cba1d81982a5,,"Gender parity index for achievement in mathematics, by education level (ratio)",Gender parity index for achievement in mathematics by the end of primary education,,,,,PRIMAR,,,,0,4,,,The gender parity index for achievement in mathematics at the end of primary education was , girls per 100 boys achieved at least a minimum proficiency level in mathematics,The gender parity index for achievement in mathematics at the end of primary education was , girls per 100 boys achieved at least a minimum proficiency level in mathematics,,,
1,4,4.5,4.5.1,SE_GPI_REAACH,164c07649d7d4c0fa50ea2175619ba61,,"Gender parity index for achievement in reading, by education level (ratio)",Gender parity index for achievement in reading by the end of primary education,,,,,PRIMAR,,,,0,4,,,The gender parity index for achievement in reading at the end of primary education was , girls per 100 boys achieved at least a minimum proficiency level in reading,The gender parity index for achievement in reading at the end of primary education was , girls per 100 boys achieved at least a minimum proficiency level in reading,,,
1,2,2.1,2.1.1,SN_ITK_DEFC,08f4e15e1afe43d8a9bbeeae7f4bd3ca,,Prevalence of undernourishment (%),Prevalence of undernourishment (percent),,,,,,,,,0,7,%,%,The proportion of the population suffering from hunger was ,,The proportion of the population suffering from hunger was ,, declined from , increased from,
,12,12.2,12.2.2,EN_MAT_DOMCMPG,7794a89241654512bc4117205a9d6d00,,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",Domestic material consumption per unit of GDP (kg per constant 2010 US dollars),,,,,,RAW,,,1,7, kg per unit of GDP,,The material footprint (amount of primary materials used) stood at,,The material footprint (amount of primary materials used) stood at,,,,
1,15,15.1,15.1.2,ER_PTD_FRWRT,9fcf31b0eb6b40ddb8a4c963bf78d761,,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Average proportion of freshwater key biodiversity areas (KBAs) covered by protected areas (percent),,,,_T,,,,,1,7,%,,The average proportion of freshwater key biodiversity areas (KBAs) covered by protected areas was ,,The average proportion of freshwater key biodiversity areas (KBAs) covered by protected areas was ,,,,
1,15,15.1,15.1.2,ER_PTD_TERRS,50b0017bc20a400e8bfb92da7591a28b,,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Average proportion of terrestrial key biodiversity areas (KBAs) covered by protected areas (percent),,,,_T,,,,,1,7,%,,The average proportion of terrestrial key biodiversity areas (KBAs) covered by protected areas was ,,The average proportion of terrestrial key biodiversity areas (KBAs) covered by protected areas was ,,,,
1,7,7.1,7.1.2,EG_EGY_CLEAN,1dc5d53ca0834e8da4594e86180cf55e,,Proportion of population with primary reliance on clean fuels and technology (%),Proportion of population with primary reliance on clean fuels and technology (percent),,,,,,,,,0,8,% ,,of the population relied primarily on clean fuels and technology,,of the population relied primarily on clean fuels and technology,,,,
1,14,14.5,14.5.1,ER_MRN_MARIN,f205b31db8bf44ea9f8d23b41cd4a9a9,,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%),Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (percent),,,,,,,,,1,8,% ,,of the marine environment under national jurisdiction (up to 200 nautical miles from shore) was under protection,,of the marine environment under national jurisdiction (up to 200 nautical miles from shore) was under protection,,,,
1,9,9.5,9.5.1,GB_XPD_RSDV,06bbe00c627d46f884b9caf36413ad97,,Research and development expenditure as a proportion of GDP (%),Research and development expenditure as a proportion of GDP (percent),,,,,,,,,0,9,% of GDP,%,investment in research and development (R&D) stood at ,,investment in research and development (R&D) stood at ,,a decline from ,up from ,
1,17,17.3,17.3.2,BX_TRF_PWKR,00e65cf61d8042f591c27ddb56d10063,,Volume of remittances (in United States dollars) as a proportion of total GDP (%),Volume of remittances as a proportion of total GCP (percent),,,,,,,,,1,9,% of GDP,%,the inflow of personal remittances was ,,the inflow of personal remittances was ,,down from ,up from ,
1,11,11.6,11.6.2,EN_ATM_PM25,e9df4c5818464ca89b1f0cc403897836,,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",Annual mean levels of fine particulate matter in cities (micrograms per cubic meter),,_T,,,,,,,0,10, micrograms per cubic metre,,the annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (PM2.5) was about ,,the annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (PM2.5) was about ,, This is below the maximum level for safety set by WHO of 10 micrograms per cubic metre., This is above the maximum level for safety set by WHO of 10 micrograms per cubic metre.,10
1,16,16.1,16.1.1,VC_IHR_PSRC,f0b52ccea69a48b09df3f5fd58e58e84,,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)","Number of victims of intentional homicide per 100,000 population",,,_T,,,,,,0,11," per 100,000 population",,the intentional homicide rate was ,,the intentional homicide rate was ,,,,
1,13,13.1,13.1.2,SG_DSR_LGRGSR,184b20498cbc4f48831c47e5d9433d4c,,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,Score of adoption and implementation of national DRR strategies in line with the Sendai Framework,,,,,,,,,1,1,%,%,The score of adoption and implementation of national disaster and risk reduction strategies was approximately ,,The score of adoption and implementation of national disaster and risk reduction strategies,, declined from , increased from ,
1,17,17.18,17.18.3,SG_STT_NSDSFND,f503b6296a1b48439c57788ac9a10619,,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),Existence of national statistical plans that are fully funded,,,,,,,,,0,12,,,,,As of ,, does not have national statistical plans that are fully funded, has developed national statistical plans that are fully funded,
1,3,3.3,3.3.1,SH_HIV_INCD,6e8b1982b7a643b9bb1906a8edfd31a2,,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","Number of new HIV infections per 1,000 uninfected population",_T,,_T,,,,,,1,13, people,people,there were about ," in every 100,000 uninfected population that became newly infected with HIV",there were about ," in every 100,000 uninfected population that became newly infected with HIV",,,
1,3,3.1,3.1.1,SH_STA_MMR,1e40231c75c64219952a92c61d916452,,Maternal mortality ratio,Maternal mortality ratio,,,,_T,,,,,0,14," per 100,000 live births",,The maternal mortality ratio was ,,The maternal mortality ratio,, decreased from , increased from ,
1,17,17.6,17.6.2,IT_NET_BBP,9e7ac88c99e1423abcac29a5f5a3ab28,,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",Fixed internet broadband subscriptions per 100 inhabitants,,,,,,,,ANYS,0,15,% of the population,%,fixed-broadband internet penetration reached ,,fixed-broadband internet penetration reached ,, down from , up from ,
,2,2.2,2.2.2,SH_STA_WASTE,1206e053761f4924869688ab3bb6a53c,,Proportion of children moderately or severely wasted (%),Proportion of children under 5 years of age who are moderately or severely wasted (percent),Y0T4,,,,,,,,1,1,%,%,The proportion of children under 5 years of age who where moderately or severely wasted was approximately,,The proportion of children under 5 years of age who where moderately or severely wasted,, decreased from , increased from ,
,3,3.3,3.3.2,SH_TBS_INCID,3a49aa2198544ff5ad4f856f1a71135b,,"Tuberculosis incidence (per 100,000 population)","Tuberculosis incidence (per 100,000 population)",,,,,,,,,1,11," per 100,000 population",,the incidence of tuberculosis was,,the incidence of tuberculosis was ,,,,
,3,3.3,3.3.3,SH_STA_MALR,6070453223094596870eb5f16996d0bb,,"Malaria incidence per 1,000 population at risk (per 1,000 population)","Malaria incidence per 1,000 population at risk (per 1,000 population)",,,,,,,,,1,11," per 1,000 population",,the incidence of malaria was,,the incidence of malaria was ,,,,
,4,4.5,4.5.1,SE_GPI_TRATEA,2220f2631b044c80811e3209baed8871,,"Gender parity index of trained teachers, by education level (ratio)",Gender parity index of trained teachers in primary education,,,,,PRIMAR,,,,0,,,,Gender parity index for primary school teachers who were trained was ,female primary school teachers per 100 male primary school teachers were trained,Gender parity index for primary school teachers who were trained was ,"female primary school teachers per 100 male primary school teachers were trained, ", a decline from , an increase from ,
,5,5.5,5.5.2,IC_GEN_MGTL,b23f560693c240b29009e570903b5ff2,,Proportion of women in managerial positions (%),Proportion of women in managerial positions (percent),,,F,,,,,,0,8,% ,,of managerial positions were held by women,,of managieral positoins were held by women,,,,
,6,6.2,6.2.1,SH_SAN_DEFECT,6d84807ee23f4ddbaf2b9ba0768c8a12,,"Proportion of population practicing open defecation, by urban/rural (%)",Proportion of rural population practicing open defecation (percent),,R,,,,,,,1,1,%,%,The proportion of rural population practicing open defecation was approximately,,The proportion of rural population practicing open defecation,, declined from , increased from ,
,6,6.2,6.2.1,SH_SAN_DEFECT,6d84807ee23f4ddbaf2b9ba0768c8a12,,"Proportion of population practicing open defecation, by urban/rural (%)",Proportion of urban population practicing open defecation (percent),,U,,,,,,,1,1,%,%,The proportion of urban population practicing open defecation was approximately,,The proportion of urban population practicing open defecation,, declined from , increased from ,
,6,6.2,6.2.1,SH_SAN_SAFE,961186c499834224bb09e32f68092855,,"Proportion of population using safely managed sanitation services, by urban/rural (%)",Proportion of rural population using safely managed sanitation services (percent),,R,,,,,,,0,1,%,%,The proportion of rural population using safely managed sanitation services was approximately,,The proportion of rural population using safely managed sanitation services,, declined from , increased from ,
,6,6.2,6.2.1,SH_SAN_SAFE,961186c499834224bb09e32f68092855,,"Proportion of population using safely managed sanitation services, by urban/rural (%)",Proportion of urban population using safely managed sanitation services (percent),,U,,,,,,,0,1,%,%,The proportion of urban population using safely managed sanitation services was approximately,,The proportion of urban population using safely managed sanitation services,, declined from , increased from ,
,8,8.5,8.5.2,SL_TLF_UEM,c386199f78d041d5b1c7b5403ed6bc52,,"Unemployment rate, by sex and age (%)",Unemployment rate of women 15 years of age and older (percent),Y_GE15,,F,,,,,,0,,,,,,,,,,
,8,8.5,8.5.2,SL_TLF_UEM,c386199f78d041d5b1c7b5403ed6bc52,,"Unemployment rate, by sex and age (%)",Unemployment rate of men 15 years of age and older (percent),Y_GE15,,M,,,,,,0,,,,,,,,,,
,8,8.5,8.5.2,SL_TLF_UEM,c386199f78d041d5b1c7b5403ed6bc52,,"Unemployment rate, by sex and age (%)",Unemployment rate of population 25 years of age and older,Y_GE25,,_T,,,,,,0,,,,,,,,,,
,17,17.18,17.18.3,SG_STT_NSDSIMPL,007e996bd74146de86baa15033995ee2,,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),Existence of national statistical plans that are under implementation,,,,,,,,,0,,,,,,,,,,
