goal	target	indicator_code	indicator_ref	COMMENT	ACTION	series	hub_id	n_countries	TimeSeriesDescription	unit	country_profile	zero.removal	Text.type	unit1	unit2	DA2.1	DA2.2	DA3.1	DA3.2	Down	Up	Threshold
1	1.3	C010301	1.3.1			SI_COV_DISAB	1ccf5e08186148ecbe02dcefc2f0551e	103	Proportion of population with severe disabilities receiving disability cash benefit	percent	1	1	2	% 	%	of the country's population with severe disabilities were receiving disability cash benefit 		 of the country's population with severe disabilities were receiving disability cash benefit 		 down from 	 up from 	
1	1.3	C010301	1.3.1			SI_COV_PENSN	2d8f6d7aef9a493d829a6619e9219029	183	Proportion of population above statutory pensionable age receiving a pension	percent	1	1	1	%	%	The proportion of population above statutory pensionable age receiving a pension was 		The proportion of population above statutory pensionable age receiving a pension 		 declined from 	 increased from 	
1	1.4	C010401	1.4.1			SP_ACS_BSRVH2O	da7d9e13a45b4734b5eef4b8355cdb6c	228	Proportion of population using basic drinking water services	percent	1	1	1	%	%	The proportion of population using basic drinking water services was 		The proportion of population using basic drinking water services 		 declined from 	 increased from 	
1	1.4	C010401	1.4.1			SP_ACS_BSRVSAN	1df36f26cad44482b56e0f6e5ad471dd	224	Proportion of population using basic sanitation services	percent	1	1	1	%	%	The proportion of population using basic sanitation services was 		The proportion of population using basic sanitation services 		 declined from 	 increased from 	
1	1.5	C010502	1.5.2			VC_DSR_LSGP	e3adb2406c2e452b81c3654e276fc5ca	121	Direct economic loss attributed to disasters relative to GDP	percent	1	1	1	%	%	The direct economic loss attributed to disasters relative to GDP was 		The direct economic loss attributed to disasters relative to GDP 		 declined from 	 increased from 	
1	1.5	C010502	1.5.2			VC_DSR_AGLN	3313f3759366416e8be531f6bb650faf	93	Direct agriculture loss attributed to disasters	dollars	1	1	1	 dollars	 dollars	The direct agriculture loss attributed to disasters was 		The direct agriculture loss attributed to disasters 		 declined from 	 increased from 	
1	1.5	C010502	1.5.2	divide the number by a million, use "million dollars" in the "fact texts"	DIVIDE MANUALLY BY 1,000,000	VC_DSR_HOLN	9634481045a6472db316030879e32bda	118	Direct economic loss in the housing sector attributed to disasters	million dollars	1	1	1	million dollars	million dollars	The direct economic loss in the housing sector attributed to disasters was 		The direct economic loss in the housing sector attributed to disasters 		 declined from 	 increased from 	
1	1.a	C010a02	1.a.2			SD_XPD_ESED	d6eb429db59545729ed88b68410fa480	181	Proportion of total government spending on essential services, education	percent	1	1	1	%	%	The proportion of total government spending on essential education services was 		The proportion of total government spending on essential education services 		 declined from 	 increased from	
2	2.1	C020101	2.1.1			SN_ITK_DEFC	f02b373c43394a63b5931e5f96b6f655	155	Prevalence of undernourishment	percent	1	0	7	%	%	The proportion of the population suffering from hunger was 		The proportion of the population suffering from hunger 		 declined from 	 increased from	
2	2.1	C020101	2.1.1			SN_ITK_DEFCN	b828980e54784cd097e9450055dec2f0	155	Number of undernourished people	millions	1	1	1	 million	 million	The number of undernourished people was 		The number of undernourished people 		 declined from 	 increased from	
2	2.1	C020102	2.1.2			AG_PRD_FIESMSI	43c861e7e32743949790184611ef8cfc	109	Prevalence of moderate or severe food insecurity in the adult population	percent	1	1	1	%	%	The proportion of the adult population suffering from moderate or severe food insecurity was 		The proportion of the adult population suffering from moderate or severe food insecurity 		 declined from 	 increased from	
2	2.1	C020102	2.1.2			AG_PRD_FIESMSIN	970f97af7a6d4a79821b0fa22e888882	109	Total population in moderate or severe food insecurity	thousands	1	1	1	 thousand people	 thousand people	The total population suffering from moderate or severe food insecurity was 		The total population suffering from moderate or severe food insecurity 		 declined from 	 increased from	
2	2.1	C020102	2.1.2			AG_PRD_FIESSI	794ea919a22d49d6ad872d671233a5e6	108	Prevalence of severe food insecurity in the adult population	percent	1	1	1	%	%	The proportion of the adult population suffering from severe food insecurity was 		The proportion of the adult population suffering from severe food insecurity 		 declined from 	 increased from	
2	2.1	C020102	2.1.2			AG_PRD_FIESSIN	4fafa955701c462dbbdb93d38a83f765	109	Total population in severe food insecurity	thousands	1	1	1	 thousand people	 thousand people	The total population suffering from  severe food insecurity was 		The total population suffering from severe food insecurity 		 declined from 	 increased from	
2	2.2	C020201	2.2.1			SH_STA_STUNT	5a63ad2e92ff4a3491d8aaf9794f4fbe	146	Proportion of children moderately or severely stunted	percent	1	1	2	% 	%	of children under 5 years of age had stunted growth 		of children under age 5 had stunted growth 		 a decline from 	 up from 	
2	2.2	C020201	2.2.1			SH_STA_STUNTN	740994e9fd5d42da9470940d406e0007	146	Children moderately or severely stunted	thousands	1	1	13	 thousand children moderately or severely stunted	 thousand children moderately or severely stunted	there were 		there were 				
2	2.2	C020202	2.2.2			SH_STA_WASTE	492afdc8d9ac4b23a282e31d9aa4b817	145	Proportion of children moderately or severely wasted	percent	1	1	1	%	%	The proportion of children under 5 years of age who where moderately or severely wasted was 		The proportion of children under 5 years of age who where moderately or severely wasted 		 decreased from 	 increased from 	
2	2.2	C020202	2.2.2			SH_STA_WASTEN	5dc4b58c37a04fd5a1aff7fd4269c1bb	145	Children moderately or severely wasted	thousands	1	1	13	 thousand children moderately or severely wasted	 thousand children moderately or severely wasted	there were 		there were 				
2	2.2	C020202	2.2.2			SH_STA_OVRWGT	b5fb26ce076d4b40a1ff1aab760a8bbb	144	Proportion of children moderately or severely overweight	percent	1	1	1	%	%	The proportion of overweight children under 5 years of age was 		The proportion of overweight children under 5 years of age 		 decreased from 	 increased from 	
2	2.2	C020202	2.2.2			SH_STA_OVRWGTN	04fb88034f964dc388d358fc40e5b020	144	Children moderately or severely overweight	thousand	1	1	13	 thousand children moderately or severely overweight	 thousand children moderately or severely overweight	there were 		there were 				
2	2.5	C020501	2.5.1			ER_GRF_ANIMRCNTN	1bba2dc9d506413a82c677cfd12f6dee	184	Number of local breeds for which sufficient genetic resources are stored for reconstitution	breeds	1	1	13	 local breeds	 local breeds 	there were 	  with sufficient genetic resources stored for reconstitution	there were 	  with sufficient genetic resources stored for reconstitution			
2	2.5	C020501	2.5.1			ER_GRF_PLNTSTOR	802b621a46bf40eb9a2c8f6e4790b372	103	Plant breeds for which sufficient genetic resources are stored	breeds	1	1	13	 plant breeds	 plant breeds 	there were 	  with sufficient genetic resources stored	there were 	  with sufficient genetic resources stored			
2	2.5	C020503	2.5.2			ER_RSK_LBREDS	f575fc947b2046e29b3dc64686a69ee8	77	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk	percent	1	1	1	%	%	The share of  local breeds classified as being at risk (among those with known level of extinction risk) was 		The share  local breeds classified as being at risk (among those with known level of extinction risk)		 decreased from 	 increased from 	
2	2.a	C020a01	2.a.1			AG_PRD_ORTIND	344952fbc4f84663a34aa2d6eec236f3	200	Agriculture orientation index for government expenditures	index	1	1	1			The agriculture orientation index for government expenditures was 		The agriculture orientation index for government expenditures 		 decreased from 	 increased from 	
2	2.a	C020a01	2.a.1			AG_PRD_AGVAS	48ea3381d3464cb1b824d1dd7e0459af	147	Agriculture value added as a proportion of GDP	percent	1	1	1	%	%	The share of agriculture value added in total GDP was 		The share of agriculture value added in total GDP 		 declined from 	 increased from 	
2	2.a	C020a01	2.a.1			AG_XPD_AGSGB	308afda940eb43afb126bfb14030ddc5	200	Agriculture share of government expenditure	percent	1	1	1	%	%	The agriculture share of total government expenditure was 		The agriculture share of total  government expenditure 		 declined from 	 increased from 	
2	2.a	C020a02	2.a.2			DC_TOF_AGRL	3d63cd7f64c949dd9fcb969bdf21a258	155	Total official flows (disbursements) received for agriculture	millions of constant 2018 dollars	1	1	1	 millions dollas at constant prices of 2018	 millions dollas at constant prices of 2018	Agricultural export subsidies were 		Agricultural export subsidies 		 declined from 	 increased from 	
2	2.c	C020c01	2.c.1			AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	64	Indicator of Food Price Anomalies (IFPA) for rice	index	1	1	1			The indicator of Food Price Anomalies (IFPA) for rice was 		The indicator of Food Price Anomalies (IFPA) for rice 		 decreased from 	 increased from 	
2	2.c	C020c01	2.c.1			AG_FPA_CFPI	484cad4739e24104a3bdc5cde6973351	160	Consumer Food Price Index	index	1	1	1			The Consumer Food Price Index was 		The Consumer Food Price Index 		 decreased from 	 increased from 	
3	3.1	C030101	3.1.1			SH_STA_MMR	b7e5eecaaddb495f93d30f8a7e0f75d4	185	Maternal mortality ratio	deaths per 100,000 live births	1	0	14	 per 100,000 live births		The maternal mortality ratio was 		The maternal mortality ratio 		 decreased from 	 increased from 	
3	3.2	C030201	3.2.1			SH_DYN_IMRTN	87906528f0ea45d7b76ae86a6d1d86bd	195	Infant deaths	number	1	1	1			The number of infant deaths was 		The number of infant deaths 		 fell from 	 increased from 	
3	3.2	C030201	3.2.1			SH_DYN_MORT	9052901d7f0946eca284218f313f6600	195	Under-five mortality rate	deaths per 1,000 live births	1	0	1	 deaths per 1,000 live births		The mortality rate of children under 5 years of age was 		The mortality rate of children under 5 years of age 		 fell from 	 increased from 	
3	3.2	C030201	3.2.1			SH_DYN_IMRT	6a2512f65a6c4583a5028d3bf8d87005	195	Infant mortality rate	deaths per 1,000 live births	1	0	1	 deaths per 1,000 live births		The infant mortality rate was 		The infant mortality rate 		 fell from 	 increased from 	
3	3.2	C030201	3.2.1			SH_DYN_MORTN	4ae88cd4026b4cd886329d367197c8d5	195	Under-five deaths	number	1	1	1			The number of under-five deaths was 		The number of under-five deaths 		 fell from 	 increased from 	
3	3.2	C030202	3.2.2			SH_DYN_NMRTN	0ac46ff9f0994cbeb0235d084e4f0919	195	Neonatal deaths	number	1	1	1			The number of neonatal deaths was 		The number of neonatal deaths 		 fell from 	 increased from 	
3	3.2	C030202	3.2.2			SH_DYN_NMRT	202014290ce64ffdbb7e6bc1e8757f41	195	Neonatal mortality rate	deaths per 1,000 live births	1	0	1	 deaths per 1,000 live births	 deaths per 1,000 live births 	The neonatal mortality rate was 		The neonatal mortality rate 		 fell from 	 increased from 	
3	3.3	C030301	3.3.1			SH_HIV_INCD	6ab65ae9b70342f28215e6f91f2ee79f	136	Number of new HIV infections per 1,000 uninfected population	new infections per 1,000 uninfected population	1	1	13	 people	people	there were about 	 in every 100,000 uninfected population that became newly infected with HIV	there were about 	 in every 100,000 uninfected population that became newly infected with HIV			
3	3.3	C030302	3.3.2			SH_TBS_INCID	d97b709ae96b4ee795f6eb2fdf0638d5	215	Tuberculosis incidence	cases per 100,000 population	1	1	11	 per 100,000 population		the incidence of tuberculosis was 		the incidence of tuberculosis 				
3	3.3	C030303	3.3.3			SH_STA_MALR	3ed440d5ed0645d2b2184f08653d8075	109	Malaria incidence	cases per 1,000 at-risk population	1	1	11	 per 1,000 population		the incidence of malaria was 		the incidence of malaria was 				
3	3.3	C030304	3.3.4			SH_HAP_HBSAG	77a849a34c5647d09be464d0c3250aed	194	Prevalence of hepatitis B surface antigen (HBsAg)	percent	1	1	1	%		The prevalence of hepatitis B surface antigen (HBsAg) was 		The prevalence of hepatitis B surface antigen (HBsAg)		 declined from 	 increased from 	
3	3.3	C030305	3.3.5	Divide the figure by 1000, use unit of "thousand of people" in fact text?		SH_TRP_INTVN	e13bac22fcde46beaac59381a90d4b23	194	People requiring interventions against neglected tropical diseases	number	1	1	1			The number of people requiring interventions against neglected tropical diseases was 		The number of people requiring interventions against neglected tropical diseases 		 fell from 	 increased from 	
3	3.4	C030401	3.4.1	the unit can be "%" in the fact text	FIXED	SH_DTH_NCOM	34d66afd38ce43f888bb8915a97c81e9	183	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease among population 30 to 70 years old	probability	1	0	1	%	%	The risk of dying between ages 30 and 70 from one of four main non-communicable diseases (cardiovascular disease, cancer, diabetes or chronic respiratory disease) was 		The risk of dying between the ages of 30 and 70 from one of four main non-communicable diseases (cardiovascular disease, cancer, diabetes or chronic respiratory disease)		 declined from 	 increased from 	
3	3.4	C030401	3.4.1			SH_DTH_RNCOM	3b95d9a55ee342f28fdacecf170d366c	183	Deaths attributed to cardiovascular disease	number	1	1	11			the number of deaths attributed to cardiovascular disease was 		the number of deaths attributed to cardiovascular disease 				
3	3.4	C030402	3.4.2	Text for this one seesm to be wrong, it refers to child mortality rate	FIXED	SH_STA_SCIDE	fef6bd2313374421bf8e11d7599216a4	183	Suicide mortality rate	deaths per 100,000 population	1	0	1	 deaths per 1,000 population	 deaths per 1,000 population	The suicide mortality rate was 		The suicide mortality rate 		 fell from 	 increased from 	
3	3.4	C030402	3.4.2			SH_STA_SCIDEN	82455bcc859c4632a9cb9f7e311fe967	183	Deaths attributed to suicide	number	1	1	11			the number of deaths attributed to suicide was 		the number of deaths attributed to suicide 				
3	3.5	C030501	3.5.1			SH_SUD_ALCOL	3ecfea04cf9541d6acc9d749c43432cf	190	12-month prevalence of alcohol use disorders	percent	1	1	1	%		The 12-month prevalence of alcohol use disorders was 		The 12-month prevalence of alcohol use disorders 		 declined from 	 increased from 	
3	3.5	C030502	3.5.2			SH_ALC_CONSPT	9321fc4d3030468db59cc6fd4338d281	188	Annual alcohol consumption per capita among population aged 15 years and older	litres of pure alcohol	1	0	1	 litres of pure alcohol		Alcohol consumption per captita among population aged 15 years and older was 		Alcohol consumption per captita among population aged 15 years and older 		 fell from 	 increased from 	
3	3.6	C030601	3.6.1			SH_STA_TRAF	85426d9b29a74d3b9ae41ae6704046d3	195	Death rate due to road traffic injuries	deaths per 100,000 population	1	0	1	 deaths per 100,000 population		The death rate due to road traffic injuries was 		The death rate due to road traffic injuries 		 fell from 	 increased from 	
3	3.7	C030701	3.7.1			SH_FPL_MTMM	8bbefcba76b440bc99d369eedf31bfe7	137	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	percent	1	1	1	%	%	The proportion of women of reproductive age who have their need for family planning satisfied with modern methods was 		The proportion of women of reproductive age who have their need for family planning satisfied with modern methods 		 declined from 	 increased from	
3	3.7	C030702	3.7.2			SP_DYN_ADKL	aef421a8c221463abbc7e222f3b278c5	222	Adolescent birth rate	births per 1,000 women aged 15-19 years	1	1	1	 per 1,000 women aged 15-19 years		The adolescent birth rate was 		The adolescent birth rate 		 declined from 	 increased from	
3	3.8	C030801	3.8.1			SH_ACS_UNHC	55a343e2234c4b3ab3d0cc449229d1fc	183	Universal health coverage (UHC) index	index	1	0	14			The universal health coverage (UHC) service coverage index was 		The universal health coverage (UHC) service coverage index 		 decreased from 	 increased from 	
3	3.8	C030802	3.8.2			SH_XPD_EARN25	cd0f5a6e99b54f929a0447a8c9311383	147	Proportion of population with household expenditures on health greater than 25% of total household expenditure or income	percent	1	1	1	%	%	The proportion of population with health expenditures above 25% of total household expenditure or income was 		The proportion of population with health expenditures above 25% of total household expenditure or income 		 declined from 	 increased from	
3	3.8	C030802	3.8.2			SH_XPD_EARN10	1f7d8dc98e5a4ef3a165aa5582d78316	147	Proportion of population with household expenditures on health greater than 10% of total household expenditure or income	percent	1	1	1	%	%	The proportion of population with health expenditures above 10% of total household expenditure or income was 		The proportion of population with health expenditures above 10% of total household expenditure or income 		 declined from 	 increased from	
3	3.9	C030901	3.9.1			SH_HAP_ASMORT	d357f2d3055d475c8692bffed2b94a7a	147	Age-standardized mortality rate attributed to household air pollution	deaths per 100,000 population	1	0	14	 per 100,000 population	 per 100,000 population	The age-standardized mortality rate attributed to household air pollution was 		The age-standardized mortality rate attributed to household air pollution 		 decreased from 	 increased from 	
3	3.9	C030901	3.9.1			SH_AAP_ASMORT	e4bdf511d53a46d7915241d1150b0825	183	Age-standardized mortality rate attributed to ambient air pollution	deaths per 100,000 population	1	0	1	 deaths per 1,000 population	 deaths per 1,000 population	The age-standardized mortality rate attributed to ambient air pollution was 		The age-standardized mortality rate attributed to ambient air pollution 		 fell from 	 increased from 	
3	3.9	C030902	3.9.2			SH_STA_WASH	5439a96fbb35431c813fc6932a82400a	183	Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene	deaths per 100,000 population	1	1	1	 deaths per 1,000 population	 deaths per 1,000 population	The mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene was 		The mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene 		 fell from 	 increased from 	
3	3.9	C030903	3.9.3			SH_STA_POISN	b1f51a01a43f4661ac2b143449b54dff	183	Mortality rate attributed to unintentional poisonings	deaths per 100,000 population	1	1	1	 deaths per 1,000 population	 deaths per 1,000 population	The mortality rate attributed to unintentional poisonings was 		The mortality rate attributed to  unintentional poisonings 		 fell from 	 increased from 	
3	3.a	C030a01	3.a.1			SH_PRV_SMOK	8936c15ac3b8423f871dea7cbf92cf04	149	Age-standardized prevalence of current tobacco use among persons aged 15 years and older	percent	1	1	1	%	%	Age-standardized prevalence of current tobacco use among persons aged 15 years and older was 		Age-standardized prevalence of current tobacco use among persons aged 15 years and older 		 fell from 	 increased from 	
3	3.b	C030b01	3.b.1			SH_ACS_DTP3	0715862ea69a4a8b95f1d97967d7a549	195	Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)	percent	1	1	1	%	%	The proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) was  		The proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) 		 declined from 	 increased from	
3	3.b	C030b01	3.b.1			SH_ACS_MCV2	7dbbd65b355a41f3b1f7b95ef84fff39	170	Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)	percent	1	1	1	%	%	The proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) was  		The proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)		 declined from 	 increased from	
3	3.b	C030b01	3.b.1			SH_ACS_PCV3	e9692a9f8a0c4c619063971358c7f9bd	142	Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)	percent	1	1	1	%	%	The proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) was  		The proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)		 declined from 	 increased from	
3	3.b	C030b01	3.b.1			SH_ACS_HPV	8ae7559ed5f741ae853751cf38bcfb69	76	Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV)	percent	1	1	1	%	%	The proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) was  		The proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV)		 declined from 	 increased from	
3	3.b	C030b02	3.b.2			DC_TOF_HLTHNT	4ced890b6fc94cd58f5a475ebe5b2507	149	Net disbursement of total official development assistance received for medical research and basic heath sectors	millions of 2018 dollars	1	1	1	 millions of 2018 dollars	 millions of 2018 dollars	Net disbursement of total official development assistance received for medical research and basic heath sectors was 		Net disbursement of total official development assistance received for medical research and basic heath sectors 		 decreased from 	 increased from 	
3	3.b	C030b02	3.b.2			DC_TOF_HLTHL	43c59139930244b1aa0ec279e9a0b8d0	154	Gross disbursements of total official development assistance received for medical research and basic heath sectors	millions of constant 2018 dollars	1	1	1	 millions of 2018 dollars	 millions of 2018 dollars	Gross disbursements of total official development assistance received for medical research and basic heath sectors was 		Gross disbursements of total official development assistance received for medical research and basic heath sectors was 		 decreased from 	 increased from 	
3	3.c	C030c01	3.c.1			SH_MED_HEAWOR	0c82548fd1854bcfa3e528728480f18e	193	Health worker density: medical doctors	medical doctors per 10,000 population	1	1	13	 medical doctors	 medical doctors	there were about 	 for every 10,000 persons in the population	there were about 	 for every 10,000 persons in the population			
4	4.1	C040101	4.1.1			SE_TOT_PRFL	0e23ab91a2844c94997cb25abb0d2af7	63	Proportion of children achieving minimum primary-level proficiency in reading	percent	1	1	1	%	%	The proportion of children and young people achieving a minimum proficiency level in reading in lower secondary education was  		The proportion of children and young people achieving a minimum proficiency level in reading in lower secondary education 		 declined from 	 increased from	
4	4.1	C040102	4.1.2			SE_TOT_CPLR	f531d243107e407d88160d28a2cf9593	122	Completion rate of primary education	percent	1	1	1	%	%	The completion rate of lower secondary education was  		The completion rate of lower secondary education 		 declined from 	 increased from	
4	4.2	C040201	4.2.1			SE_DEV_ONTRK	48cb1c00fd314c59a4b6e0dff9a2394c	75	Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning	percent	1	1	2	% 		of children aged 36-59 months were developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning 		of children aged 36-59 months were developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning 		 down from 	 up from 	
4	4.2	C040202	4.2.2			SE_PRE_PARTN	2d2733e36b3a4b47a2cadc4018ea89ca	176	Participation rate in organized learning one year before the official primary entry age	percent	1	1	2	% 		of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school 		of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school 		 down from 	 up from 	
4	4.3	C040301	4.3.1			SE_ADT_EDUCTRN	86f9912608ea463fa086b306bbb1412c	107	Participation rate in formal and non-formal education and training	percent	1	1	1	%	%	The participation rate in formal and non-formal education and training was  		The participation rate in formal and non-formal education and training 		 declined from 	 increased from	
4	4.4	C040401	4.4.1			SE_ADT_ACTS	c86e872cc853477180d39477bcde9f88	86	Proportion of youth and adults able to write a computer program using a specialized programming language	percent	1	1	2	% 		of youth and adults were able to write a computer program using a specialized programming language 		of youth and adults were able to write a computer program using a specialized programming language 		 down from 	 up from 	
4	4.5	C040501	4.5.1			SE_PRE_GPIPARTN	a7536473e746435480cf3d7138e21b8c	175	Gender parity index for participation rate in organized learning one year before the official primary entry age	ratio	1	1	1			The gender parity index for participation rate in organized learning (one year before the official primary entry age) was  		The gender parity index for participation rate in organized learning (one year before the official primary entry age)		 declined from 	 increased from	
4	4.5	C040501	4.5.1			SE_GPI_TRATEA	d78d253f2cd549e38b8e14ff9adc3390	137	Gender parity index of trained primary teachers	ratio	1	1	4			The gender parity index for primary school teachers who were trained was 	 female primary school teachers per 100 male primary school teachers were trained	The gender parity index for primary school teachers who were trained was 	 female primary school teachers per 100 male primary school teachers were trained, 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_GPI_PART	17b9108a4a4d40fda087ac87046673e6	97	Gender parity index for participation rate in formal and non-formal education and training (ratio)	ratio	1	1	1			The gender parity index for participation rate in formal and non-formal education and training was  		The gender parity index for participation rate in formal and non-formal education and training 		 declined from 	 increased from	
4	4.5	C040501	4.5.1			SE_GPI_ICTS	ae6125a40e2649818bc57160cdea67e8	35	Gender parity index for youth/adults able to write a computer program using a specialized programming language	ratio	1	1	4			The gender parity index for youth/adults whe were able to write a computer program using a specialized programming language was 	 female per 100 male youth/adults had this type of skill	The gender parity index for youth/adults whe were able to write a computer program using a specialized programming language was 	 female per 100 male youth/adults had this type of skill, 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_IMP_FPOF	49b44d7b895b434990bb26b3e70c1711	27	Immigrat to non-immigrant status parity index for achieving at least a fixed primary-level proficiency in reading	ratio	1	1	4			The immigration status parity index for achieving at least a fixed level of proficiency in functional numeracy  skills was 	 immigrant per 100 non-immigrant children had this level of achievement 	The immigration status parity index for achieving at least a fixed level of proficiency in functional numeracy  skills was 	 immigrant per 100 non-immigrant children had this level of achievement 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_NAP_ACHI	534fa02e75684b67923c987a3469b5ac	10	Non-native to native parity index for achieving a minimum primary proficiency in reading	ratio	1	1	4			The non-native to native parity index for achieving a minimum primary proficiency in reading was 	 non-native per 100 native children in primary education had this level of achievement 	The non-native to native parity index for achieving a minimum primary proficiency in reading was 	 non-native per 100 native children in primary education had this level of achievement 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_TOT_GPI	9983c09940de47abb46694913b920fa8	50	Gender parity index for achieving a minimum primary proficiency in reading	ratio	1	1	4			The gender parity index for achievement of minimum proficiency in reading in lower secondary education was 	 girls per 100 boys in lower secondary education had this level of achievement 	The gender parity index for achievement of minimum proficiency in reading in lower secondary education was 	 girls per 100 boys in lower secondary education had this level of achievement 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_TOT_RUPI	3425a76ab71847d1bb3d07661ca5b528	41	Rural to urban parity index for achieving a minimum primary proficiency in reading	ratio	1	1	4			The rural to urban parity index for achieving a minimum primary proficiency in reading was 	 rural per 100 urban children in primary education had this level of achievement 	The non-native to native parity index for achieving a minimum primary proficiency in reading was 	 rural per 100 urban children in primary education had this level of achievement 	 a decline from 	 an increase from 	
4	4.5	C040501	4.5.1			SE_ALP_CPLR	aa53db2768e946d592ecd5f9cf9f926f	118	Adjusted rural to urban parity index for primary completion rate	ratio	1	1	1			The adjusted rural to urban parity index for primary completion rate was 		The adjusted rural to urban parity index for primary completion rate 		 declined from 	 increased from	
