,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
2,2,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",12,2016.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",13,2019.0,1.0,1.0,1.0,1.0,0.0,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",28,2016.0,1.0,1.0,1.0,1.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",7,2018.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",7,2018.0,1.0,1.0,1.0,1.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",12,2018.0,1.0,1.0,1.0,1.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),110,2012.0,2.0,2.0,1.0,2.0,0.0,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),11,2011.0,2.0,2.0,1.0,2.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),34,2012.0,2.0,2.0,1.0,2.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),22,2014.0,5.0,2.0,1.0,2.0,0.0,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),16,2012.0,2.5,2.0,1.0,2.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),6,2006.0,1.0,2.0,1.0,2.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),13,2010.0,1.0,2.0,1.0,2.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_SOCAST,[World Bank] Proportion of population covered by social assistance programs (%),8,2013.0,3.0,2.0,1.0,2.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),108,2012.0,2.0,2.0,1.0,2.0,0.0,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),11,2011.0,2.0,2.0,1.0,2.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),32,2012.0,2.0,2.0,1.0,2.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),22,2014.0,5.0,2.0,1.0,2.0,0.0,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),16,2012.0,2.5,2.0,1.0,2.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),8,2007.0,1.0,2.0,1.0,2.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),9,2010.0,1.0,2.0,1.0,2.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_SOCINS,[World Bank] Proportion of population covered by social insurance programs (%),10,2013.0,2.0,2.0,1.0,2.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",94,2017.0,1.0,1.0,1.0,1.0,0.010638297872340425,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",1,2016.0,1.0,1.0,1.0,1.0,0.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",10,2019.0,1.0,1.0,1.0,1.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",17,2016.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",14,2019.0,1.0,1.0,1.0,1.0,0.07142857142857142,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",25,2016.0,1.0,1.0,1.0,1.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",7,2019.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",8,2019.0,1.0,1.0,1.0,1.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",12,2019.0,1.0,1.0,1.0,1.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",91,2015.0,7.0,1.0,1.0,1.0,0.46153846153846156,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",2,2014.0,6.0,2.0,1.0,2.0,0.5,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",5,2016.0,6.0,3.0,1.0,3.0,0.6,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",8,2016.5,1.0,1.0,1.0,1.0,0.125,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",13,2016.0,1.0,1.0,1.0,1.0,0.23076923076923078,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",43,2014.0,7.0,3.0,1.0,3.0,0.6511627906976745,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",14,2017.0,2.0,1.0,1.0,1.0,0.2857142857142857,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",6,2016.5,7.0,1.0,1.0,1.0,0.3333333333333333,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",110,2018.0,1.0,1.0,1.0,1.0,0.01818181818181818,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",2,2016.0,1.0,1.0,1.0,1.0,0.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",11,2019.0,1.0,1.0,1.0,1.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",21,2016.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",13,2019.0,1.0,1.0,1.0,1.0,0.07692307692307693,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",28,2016.0,1.0,1.0,1.0,1.0,0.03571428571428571,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",10,2019.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",11,2019.0,1.0,1.0,1.0,1.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",14,2019.0,1.0,1.0,1.0,1.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",151,2019.0,1.0,1.0,1.0,1.0,0.019867549668874173,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",2,2019.0,1.0,1.0,1.0,1.0,0.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",9,2019.0,1.0,1.0,1.0,1.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",40,2019.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",26,2019.0,1.0,1.0,1.0,1.0,0.07692307692307693,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",38,2019.0,1.0,1.0,1.0,1.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",5,2019.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",18,2019.0,1.0,1.0,1.0,1.0,0.05555555555555555,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",13,2017.0,1.0,1.0,1.0,1.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",122,2018.5,1.0,1.0,1.0,1.0,0.00819672131147541,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",2,2017.5,1.5,1.0,1.0,1.0,0.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",11,2019.0,1.0,1.0,1.0,1.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",22,2016.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",17,2019.0,2.0,1.0,1.0,1.0,0.058823529411764705,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",28,2016.0,1.0,1.0,1.0,1.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",11,2019.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",17,2019.0,1.0,1.0,1.0,1.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",14,2019.0,1.0,1.0,1.0,1.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",100,2017.0,2.0,1.0,1.0,1.0,0.36,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",2,2018.0,3.0,2.0,1.0,2.0,0.5,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",10,2018.5,2.0,1.0,1.0,1.0,0.1,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",10,2017.0,1.0,1.0,1.0,1.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",18,2017.0,2.0,1.0,1.0,1.0,0.16666666666666666,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",32,2017.0,4.0,3.0,1.0,3.0,0.75,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",1,2019.0,1.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",15,2018.0,2.0,1.0,1.0,1.0,0.26666666666666666,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",12,2019.0,2.0,1.0,1.0,1.0,0.25,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),60,2012.0,2.0,2.0,1.0,2.0,0.0,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),4,2011.5,1.5,2.0,1.0,2.0,0.0,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),14,2011.5,1.0,2.0,1.0,2.0,0.0,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),14,2013.5,4.5,2.0,1.0,2.0,0.0,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),16,2012.0,2.0,2.0,1.0,2.0,0.0,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),7,2012.0,1.0,2.0,1.0,2.0,0.0,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_LMKT,[World Bank] Proportion of population covered by labour market programs (%),5,2013.0,4.0,2.0,1.0,2.0,0.0,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",179,2016.0,3.0,1.0,1.0,1.0,0.3016759776536313,194,1,World
0,0,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",2,2014.0,3.0,3.0,1.0,3.0,1.0,2,53,Australia and New Zealand
1,1,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",13,2019.0,3.0,1.0,1.0,1.0,0.07692307692307693,14,62,Central and Southern Asia
2,2,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",41,2016.0,2.0,1.0,1.0,1.0,0.0975609756097561,48,202,Sub-Saharan Africa
3,3,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",31,2016.0,2.0,1.0,1.0,1.0,0.25806451612903225,33,419,Latin America and the Caribbean
4,4,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",41,2014.0,3.0,3.0,1.0,3.0,0.7317073170731707,45,513,Europe and Northern America
5,5,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",12,2019.0,3.0,1.0,1.0,1.0,0.0,12,543,Oceania (excluding Australia and New Zealand)
6,6,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",24,2017.0,2.0,1.0,1.0,1.0,0.25,24,747,Northern Africa and Western Asia
7,7,'1,'1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",15,2019.0,3.0,1.0,1.0,1.0,0.2,16,753,Eastern and South-Eastern Asia
0,0,'1,'1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",194,2017.0,18.0,3.0,1.0,3.0,0,194,1,World
0,0,'1,'1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",2,2017.0,18.0,3.0,1.0,3.0,0,2,53,Australia and New Zealand
1,1,'1,'1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",14,2017.0,18.0,3.0,1.0,3.0,0,14,62,Central and Southern Asia
2,2,'1,'1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",48,2017.0,18.0,3.0,1.0,3.0,0,48,202,Sub-Saharan Africa
3,3,'1,'1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",33,2017.0,18.0,3.0,1.0,3.0,0,33,419,Latin America and the Caribbean
