goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,disabilityStatus_code,disabilityStatus_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,F,Female,PWD,Persons without disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,0.9,,,0.9,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,Both sexes,PWD,Persons without disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,0.8,,,0.8,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,M,Male,_T,No breakdown by disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,0.7,,,0.7,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,F,Female,_T,No breakdown by disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,0.9,,,0.9,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,Both sexes,_T,No breakdown by disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,0.8,,,0.8,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,_T,Both sexes,PD,Persons with disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,2.1,,,2.1,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,M,Male,PD,Persons with disability,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,,,3.4,,,3.4,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,M,Male,_T,No breakdown by disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.4,,,,,,1.4,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,F,Female,_T,No breakdown by disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.1,,,,,,1.1,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,_T,Both sexes,_T,No breakdown by disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.3,,,,,,1.3,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,M,Male,PWD,Persons without disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.4,,,,,,1.4,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,F,Female,PWD,Persons without disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.1,,,,,,1.1,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,_T,Both sexes,PWD,Persons without disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.3,,,,,,1.3,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,M,Male,PD,Persons with disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.5,,,,,,1.5,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,_T,Both sexes,PD,Persons with disability,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,,,1.1,,,,,,1.1,,,Break in series: Methodology revised | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None,ILOSTAT - LFS - Labour force survey,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,_T,Both sexes,PD,Persons with disability,"[2007, 2014]",2007,2014,2,PT,Percentage,G,Global,,,3.0,,,,,,,6.7,,,,6.7,,,[2007]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None; // [2014]: Data reference period: Fourth quarter | Geographical coverage: Total national | Population coverage: Total population | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None;,ILOSTAT - HS - Household survey of Cameroon,,C: Country data
8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,I,ILO,"Unemployment rate, by sex, age and persons with disabilities",2019.Q4.G.01,['employment'],SL_TLF_UEMDIS,"Unemployment rate, by sex and disability (%)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,F,Female,PWD,Persons without disability,"[2007, 2014]",2007,2014,2,PT,Percentage,G,Global,,,3.5,,,,,,,5.2,,,,5.2,,,[2007]: Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None; // [2014]: Data reference period: Fourth quarter | Geographical coverage: Total national | Population coverage: Total population | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None;,ILOSTAT - HS - Household survey of Cameroon,,C: Country data
