series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	35	South-Eastern Asia	3	142	Asia	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	36.3636	36.36364	36.36364	36.36364				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	419	Latin America and the Caribbean	3	19	Americas	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	62.7451	68.62745	66.66667	66.66667				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	432	Landlocked developing countries (LLDCs)	1			Group						[2017]	2017	2017	1	PT	Percentage	G	Global			31.25	31.25				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	513	Europe and Northern America	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	96.4286	98.18182	94.64286	94.64286				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	53	Australia and New Zealand	3	9	Oceania	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	50.0	50.0	50.0	50.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	543	Oceania (exc. Australia and New Zealand)	3	9	Oceania	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	47.8261	47.82609	47.82609	47.82609				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	62	Central and Southern Asia	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	42.8571	42.85714	42.85714	42.85714				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	722	Small island developing States (SIDS)	1			Group						[2017]	2017	2017	1	PT	Percentage	G	Global			67.30769	67.30769				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	747	Northern Africa and Western Asia	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	60.0	68.0	72.0	72.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	753	Eastern and South-Eastern Asia	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	50.0	50.0	50.0	50.0				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
SG_REG_BRTH90	Proportion of countries with birth registration data that are at least 90 percent complete (%)	9	Oceania	2	1	World	Region						[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global	48.2759	48.27586	48.27586	48.27586				Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations		_X: Data nature not available
