series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			F	Female	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2003	2018	16	PT	Percentage	G	Global				34.41	32.92	33.67	30.18	40.11	33.6	32.68	33.55	43.86	43.23	35.55	35.59	33.32	33.95	35.15	35.26		35.26			[2003-2005,2007-2009,2011-2013,2015-2018]: Repository: ILO-STATISTICS - Micro data processing // [2006,2010,2014]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised	LFS - National Survey on Employment, Unemployment and Underemployment		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2010	2018	9	PT	Percentage	G	Global											37.64	42.93	55.83	42.69	35.58	40.67	34.08	32.65	35.74		35.74			Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old	HS - Multi-purpose household survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			F	Female	[2005, 2013]	2005	2013	2	PT	Percentage	G	Global						15.07								21.08							21.08			Repository: ILO-STATISTICS - Micro data processing	LFS - National Labor Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	34.83	38.17	37.17	34.8	41.23	41.04	39.63	34.91	36.6	34.34	38.37	34.63	31.62	32.81	30.84	27.84	31.63	34.33	33.24		33.24			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1			F	Female	[2011, 2016]	2011	2016	2	PT	Percentage	G	Global												30.71					38.58				38.58			Repository: ILO-STATISTICS - Micro data processing	LFS - Employment, Unemployment Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	27.55	29.74	30.23	30.93	30.68	32.67	33.85	32.28	33.58	34.71	34.34	31.09	29.67	29.47	34.26	33.49	34.06	31.45	32.01		32.01			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	31.65	32.55	34.48	32.53	33.06	36.34	37.0	36.46	36.77	37.38	38.54	39.14	39.19	35.58	32.03	30.93	31.07	32.45	34.5		34.5			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1			F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global													33.68								33.68			Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2010, 2011, 2012, 2018]	2000	2018	13	PT	Percentage	G	Global	23.11	22.9	19.88	23.77	20.16	21.95	19.84	18.39	19.56		21.67	21.46	15.5						17.83		17.83			Repository: ILO-STATISTICS - Micro data processing	LFS - Palestinian labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	20.66	20.59	21.99	23.06	22.76	23.56	24.19	24.77	25.69	26.82	27.51	27.94	27.06	27.52	27.77	28.05	28.09	28.21	28.58		28.58			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1			F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global																33.11					33.11			Repository: ILO-STATISTICS - Micro data processing	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	19.88	18.55	15.46	20.73	21.19	23.66	22.49	22.77	26.28	27.01	26.9	22.02	22.24	25.83	27.83	24.67	24.66	29.73	30.54		30.54			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			F	Female	[2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018]	2004	2018	12	PT	Percentage	G	Global					28.61	26.26	29.41		29.93	34.43	32.14	30.15	32.34	36.49	38.64			32.63	33.18		33.18			[2004-2006,2017-2018]: Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas // [2008-2014]: Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.	LFS - Permanent Household Survey (Urban)		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1			F	Female	[2003, 2004, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2003	2017	10	PT	Percentage	G	Global				25.52	46.56						33.15	60.91	35.57	29.4	35.44	34.63	39.17	34.5			34.5			[2003,2011-2012,2015-2017]: Repository: ILO-STATISTICS - Micro data processing // [2004,2010,2013-2014]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised	LFS - Monthly Employment and Income Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global																		35.41			35.41			Repository: ILO-STATISTICS - Micro data processing | Data reference period: Third quarter	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	340	Honduras	5	13	Central America	Country	-86.59974381	14.82243161	HND	1	1			F	Female	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global						33.15	33.83	33.77	33.32	34.25	35.54	31.56	35.8	36.21	42.32	42.39	41.08	41.04	47.11		47.11			[2005]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter | Break in series: Methodology revised // [2006-2018]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter	HS - Continous Multi-Purpose Household Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	34.19	37.65	37.86	37.19	36.65	39.4	40.94	39.04	40.78	39.9	39.96	38.22	36.26	38.26	37.59	39.06	37.72	37.64	37.05		37.05			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1			F	Female	[2000, 2001, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18	PT	Percentage	G	Global	30.41	30.18	32.26		38.12	30.04	33.97	33.06	36.96	38.35	37.14	39.09	38.2	37.87	38.24	39.51	34.76	32.96	43.05		43.05			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1			F	Female	[2010, 2012, 2018]	2010	2018	3	PT	Percentage	G	Global											12.28		12.97						13.71		13.71			Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year	[2010,2012]: HS - National Sample Survey // [2018]: LFS - PLFS		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	360	Indonesia	4	35	South-Eastern Asia	Country	113.9174	-0.994582204	IDN	1	1			F	Female	[2007, 2008, 2009, 2010]	2007	2010	4	PT	Percentage	G	Global								15.81	16.44	18.06	19.43										19.43			Repository: ILO-STATISTICS - Micro data processing	LFS - National Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	372	Ireland	4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	35.23	39.89	38.66	40.8	39.72	43.59	41.42	40.26	42.22	40.97	40.71	30.42	30.6	30.49	31.64	30.93	32.37	31.89	33.51		33.51			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	376	Israel	4	145	Western Asia	Country	34.62277992	31.06164552	ISR	1	1			F	Female	[2012, 2013, 2014, 2015, 2016]	2012	2016	5	PT	Percentage	G	Global													31.7	32.5	32.41	31.93	34.33				34.33			Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15+	LFS - Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	380	Italy	4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1			F	Female	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2004	2018	15	PT	Percentage	G	Global					18.77	19.67	21.77	22.03	21.62	21.57	21.16	21.59	22.21	22.02	21.9	21.75	22.04	22.34	23.15		23.15			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	384	Côte d'Ivoire	5	11	Western Africa	Country	-5.552690016	7.62211586	CIV	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global																		22.16			22.16			Repository: ILO-STATISTICS - Micro data processing	LFS - Regional Integrated Survey on Employment and the Informal Sector		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	4	Afghanistan	4	34	Southern Asia	Country	66.02688198	33.83160199	AFG	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global																		4.26			4.26			Repository: ILO-STATISTICS - Micro data processing	HIES - Living Condition Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	40	Austria	4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	28.13	29.38	30.78	28.5	22.18	21.5	20.96	21.0	25.19	23.25	25.42	26.07	27.13	26.33	27.85	27.88	29.52	29.19	28.86		28.86			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	428	Latvia	4	154	Northern Europe	Country	26.42461876	56.64196636	LVA	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	37.07	39.98	38.09	45.38	42.47	42.0	40.86	42.11	41.25	41.46	39.08	44.34	44.64	42.22	42.05	44.26	46.3	44.14	43.22		43.22			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	430	Liberia	5	11	Western Africa	Country	-9.311879038	6.448381009	LBR	1	1			F	Female	[2010]	2010	2010	1	PT	Percentage	G	Global											20.05										20.05			Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised	LFS - Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	440	Lithuania	4	154	Northern Europe	Country	23.90517807	55.33680309	LTU	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	42.48	50.03	48.45	41.49	46.8	44.96	42.76	40.28	41.45	40.29	41.98	36.47	35.3	36.46	35.36	38.1	38.82	37.92	38.16		38.16			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	442	Luxembourg	4	155	Western Europe	Country	6.092656563	49.77679538	LUX	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017]	2000	2017	17	PT	Percentage	G	Global	24.13	11.1	14.97	11.17	12.17	9.35	21.16	9.74	15.31	15.43	19.64	18.28	16.97	14.62	17.9		14.89	16.07			16.07			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	450	Madagascar	5	14	Eastern Africa	Country	46.6982339	-19.38514785	MDG	1	1			F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global													24.45								24.45			Repository: ILO-STATISTICS - Micro data processing	LFS - National Survey on Employment and the Informal Sector		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	462	Maldives	4	34	Southern Asia	Country	73.09672546	-0.614385021	MDV	1	1			F	Female	[2016]	2016	2016	1	PT	Percentage	G	Global																	19.52				19.52			Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	HIES - Household income and Expenditure Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	470	Malta	4	39	Southern Europe	Country	14.44617519	35.89194275	MLT	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18	PT	Percentage	G	Global	17.53	16.3	18.19	16.91	12.9		19.93	18.35	15.87	21.93	23.66	24.81	27.37	28.58	25.32	25.47	28.31	28.1	27.61		27.61			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	480	Mauritius	5	14	Eastern Africa	Country	57.568022	-20.28581998	MUS	1	1			F	Female	[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2011	2018	8	PT	Percentage	G	Global												21.33	23.09	28.93	27.26	27.77	29.5	30.82	31.03		31.03			Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old	LFS - Continuous Multi-Purpose Household Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	484	Mexico	5	13	Central America	Country	-102.5148166	23.93378032	MEX	1	1			F	Female	[2013, 2014, 2015, 2016, 2017, 2018]	2013	2018	6	PT	Percentage	G	Global														34.86	35.27	34.8	35.16	36.44	35.59		35.59			Repository: ILO-STATISTICS - Micro data processing	LFS - National Occupation and Employment Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	496	Mongolia	4	30	Eastern Asia	Country	103.0728057	46.83892054	MNG	1	1			F	Female	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2008	2018	11	PT	Percentage	G	Global									41.6	38.32	37.89	37.92	38.68	37.29	34.16	37.77	36.71	40.01	36.02		36.02			[2008]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year | Break in series: Methodology revised // [2009]: Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year // [2010-2018]: Repository: ILO-STATISTICS - Micro data processing	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	499	Montenegro	4	39	Southern Europe	Country	19.25214024	42.78717043	MNE	1	1			F	Female	[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2011	2018	8	PT	Percentage	G	Global												36.14	24.83	22.66	24.62	17.57	24.89	25.42	23.83		23.83			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	50	Bangladesh	4	34	Southern Asia	Country	89.17660788	22.86961622	BGD	1	1			F	Female	[2006, 2010, 2017]	2006	2017	3	PT	Percentage	G	Global							10.9				10.04							11.48			11.48			[2006,2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	508	Mozambique	5	14	Eastern Africa	Country	38.18479941	-14.27963886	MOZ	1	1			F	Female	[2015]	2015	2015	1	PT	Percentage	G	Global																22.15					22.15			Repository: ILO-STATISTICS - Micro data processing	HIES - Household budget Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	516	Namibia	5	18	Southern Africa	Country	17.21907885	-22.13817068	NAM	1	1			F	Female	[2012, 2013, 2014, 2016, 2018]	2012	2018	5	PT	Percentage	G	Global													25.6	48.49	46.67		48.62		48.24		48.24			Repository: ILO-STATISTICS - Micro data processing	LFS - Labour force survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	524	Nepal	4	34	Southern Asia	Country	83.94678863	28.25866332	NPL	1	1			F	Female	[2017]	2017	2017	1	PT	Percentage	G	Global																		13.9			13.9			Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	LFS - Nepal Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	528	Netherlands	4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	21.53	22.4	21.7	21.38	22.33	22.31	25.49	26.76	25.95	26.04	26.9	27.9	28.32	23.13	24.05	24.5	24.38	25.98	24.76		24.76			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	548	Vanuatu	4	54	Melanesia	Country	167.0679779	-15.34445547	VUT	1	1			F	Female	[2009]	2009	2009	1	PT	Percentage	G	Global										28.54											28.54			Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers	PC - National Population and Housing Census		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	558	Nicaragua	5	13	Central America	Country	-85.03060315	12.84210839	NIC	1	1			F	Female	[2012]	2012	2012	1	PT	Percentage	G	Global													49.73								49.73			Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised	LFS - Continous Household Survey		C: Country data
IC_GEN_MGTN	Proportion of women in senior and middle management positions (%)	56	Belgium	4	155	Western Europe	Country	4.660976456	50.64104975	BEL	1	1			F	Female	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	24.53	28.38	27.97	27.33	26.91	30.24	31.13	33.54	31.9	34.57	34.77	30.45	31.67	30.75	31.3	31.04	31.98	32.91	33.45		33.45			Repository: Eurostat special tabulation	LFS - EU Labour Force Survey		C: Country data
