goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	22.3	21.8	22.5	23.0	23.1	23.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	24.7	23.8	23.1	22.7	22.7	22.7				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	47.2	49.2	45.2	36.4	35.2	35.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	34.0	34.7	31.0	24.5	23.7	23.7				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	22.1	21.6	18.4	14.4	13.8	13.8				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	25.5	24.0	22.2	21.3	21.1	21.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	27.7	26.9	24.9	24.0	23.9	23.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	23.7	21.7	20.3	19.4	19.1	19.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	19.1	16.2	14.4	13.3	13.2	13.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	23.1	18.9	16.4	15.4	15.2	15.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	21.1	17.6	15.4	14.4	14.2	14.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	24.5	22.5	21.1	21.0	20.9	20.9				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	24.6	23.2	22.6	22.6	22.3	22.3				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	24.5	22.8	21.8	21.8	21.6	21.6				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		M: Modeled data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	14.4	12.6	11.1	10.0	9.8	9.8				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	17.6	15.2	13.2	11.8	11.5	11.5				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	Y30T70	30 to 70 years old	F	Female	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	11.2	10.1	9.1	8.3	8.1	8.1				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		CA: Country adjusted data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Y30T70	30 to 70 years old	_T	Both sexes	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	20.9	19.4	18.3	17.4	17.2	17.2				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
3	Goal 3	Ensure healthy lives and promote well-being for all at all ages	3.4	By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being	C030401	3.4.1	I	WHO	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	2020.Q1.G.01	['diabetes', 'health', 'diseases', 'non-communicable diseases', 'cancer', 'cardiovascular diseases', 'respiratory diseases', 'mortality', 'death']	SH_DTH_NCOM	Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	Y30T70	30 to 70 years old	M	Male	[2000, 2005, 2010, 2015, 2016]	2000	2016	5	PT	Percentage	G	Global	21.9	20.9	20.0	19.1	19.0	19.0				Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018		E: Estimated data
