goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2006,value_2007,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),148,Chad,5,17,Middle Africa,Country,18.66618401,15.36279341,TCD,1,1,Y0T4,under 5 years old,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,12.0,,,,,12.0,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),15,Northern Africa,3,2,Africa,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,92.0,92.0,,,Based on 5 countries with a population coverage of 98 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),150,Europe,2,1,World,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,100.0,100.0,,,Based on 42 countries with a population coverage of 100 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,Y0T7,under 8 years old,[2011],2011,2011,1,PT,Percentage,G,Global,,,,,99.4,,,,,,,,,99.4,,,Children aged 0-7 years who are registered,EstadĂ­sticas Vitales,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,Y0T4,under 5 years old,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,96.8,,,,,96.8,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),174,Comoros,5,14,Eastern Africa,Country,43.34234565,-11.66121732,COM,1,1,Y0T4,under 5 years old,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,87.3,,,,,,,,87.3,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),178,Congo,5,11,Western Africa,Country,15.22052612,-0.840544119,COG,1,1,Y0T4,under 5 years old,[2015],2015,2015,1,PT,Percentage,G,Global,,,,,,,,,95.9,,,,,95.9,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),180,Democratic Republic of the Congo,5,17,Middle Africa,Country,23.65496507,-2.877154732,COD,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,24.6,,,,,,24.6,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),184,Cook Islands,4,61,Polynesia,Country,-159.7711391,-21.22696458,COK,0,1,Y0,under 1 year old,[2017],2017,2017,1,PT,Percentage,G,Global,,,,,,,,,,,100.0,,,100.0,,,Births registered,"Civil Registration Office, Ministry of Justice, 2017",,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),188,Costa Rica,5,13,Central America,Country,-84.19712782,9.970998683,CRI,1,1,Y0,under 1 year old,[2013],2013,2013,1,PT,Percentage,G,Global,,,,,,,99.6,,,,,,,99.6,,,Births registered,INEC,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,Y0,under 1 year old,[2017],2017,2017,1,PT,Percentage,G,Global,,,,,,,,,,,100.0,,,100.0,,,Births registered,Ministry of Public Administration,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),192,Cuba,5,29,Caribbean,Country,-79.54460144,22.10030366,CUB,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,100.0,,,,,,100.0,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,100.0,,,,,,100.0,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,UNSD,,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),199,Least Developed Countries (LDC),1,,,Group,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,43.3,43.3,,,Based on 42 countries with a population coverage of 98 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),20,Andorra,4,39,Southern Europe,Country,1.576257417,42.54548611,AND,1,1,Y0T4,under 5 years old,[2012],2012,2012,1,PT,Percentage,G,Global,,,,,,100.0,,,,,,,,100.0,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,UNSD,,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,44.5,44.5,,,Based on 43 countries with a population coverage of 98 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,100.0,,,,,,100.0,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,UNSD,,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,Y0T4,under 5 years old,[2018],2018,2018,1,PT,Percentage,G,Global,,,,,,,,,,,,85.6,,85.6,,,,DHS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,100.0,,,,,,100.0,,,Estimates of 100% are assumed given the completeness of the civil registration system and all vital events (including births) are registered,UNSD,,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),21,Northern America,3,19,Americas,Region,,,,,,Y0T4,under 5 years old,[2019],2019,2019,1,PT,Percentage,G,Global,,,,,,,,,,,,,100.0,100.0,,,Based on 2 countries with a population coverage of 100 per cent,"DHS, MICS, other national surveys, censuses and vital registration systems",,E: Estimated data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),214,Dominican Republic,5,29,Caribbean,Country,-70.49847576,18.89832088,DOM,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,88.0,,,,,,88.0,,,,MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),218,Ecuador,5,5,South America,Country,-78.37005241,-1.447785891,ECU,1,1,Y0,under 1 year old,[2016],2016,2016,1,PT,Percentage,G,Global,,,,,,,,,,82.1,,,,82.1,,,Percentage of births registered,"Registro Civil, INEC",,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),222,El Salvador,5,13,Central America,Country,-88.86862995,13.73603564,SLV,1,1,Y0T4,under 5 years old,[2014],2014,2014,1,PT,Percentage,G,Global,,,,,,,,98.5,,,,,,98.5,,,,ENS/MICS,,C: Country data
16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.9,"By 2030, provide legal identity for all, including birth registration",C160901,16.9.1,I,"UNSD, UNICEF","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2020.Q1.G.01,"['civil registration', 'birth reporting', 'human rights']",SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age),226,Equatorial Guinea,5,17,Middle Africa,Country,10.46535826,1.565792376,GNQ,1,1,Y0T4,under 5 years old,[2011],2011,2011,1,PT,Percentage,G,Global,,,,,53.5,,,,,,,,,53.5,,,,DHS,,C: Country data
