goal	target	indicator_code	indicator_ref	series	hub_id	n_countries	seriesDescription	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_code	sex_desc	age_code	age_desc	location_code	location_desc	educationLevel_code	educationLevel_desc	typeOfProduct_code	typeOfProduct_desc	typeOfSkill_code	typeOfSkill_desc	quantile_code	quantile_desc	modeOfTransportation_code	modeOfTransportation_desc	nameOfInternationalInstitution_code	nameOfInternationalInstitution_desc	causeOfDeath_code	causeOfDeath_desc	disabilityStatus_code	disabilityStatus_desc	typeOfOccupation_code	typeOfOccupation_desc	groundsOfDiscrimination_code	groundsOfDiscrimination_desc	levelStatus_code	levelStatus_desc	migratoryStatus_code	migratoryStatus_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	policyDomains_code	policyDomains_desc	typeOfSpeed_code	typeOfSpeed_desc	activity_code	activity_desc	cities_code	cities_desc	ihrCapacity_code	ihrCapacity_desc	nameOfNonCommunicableDisease_code	nameOfNonCommunicableDisease_desc	policyInstruments_code	policyInstruments_desc	samplingStations_code	samplingStations_desc	substanceUseDisorders_code	substanceUseDisorders_desc	typeOfWasteTreatment_code	typeOfWasteTreatment_desc
1	'1.2	C010202	1.2.2	SD_MDP_CSMP	db688c185a3944fdaeee54716bb6b242	8	Proportion of children living in child-specific multidimensional poverty (%)	2010	2017	1	5	3.0	_T	Both sexes	Y0T17	under 18 years old	_T	All areas																																														
1	'1.3	C010301	1.3.1	SI_COV_MATNL	df4c26cbdcab425a909af73c919d0452	79	[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)	2016	2019	1	2	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_POOR	788c554b3881471e8ebde21c173e0fd0	91	[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)	2016	2019	1	2	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_SOCAST	99678c0897504db4b748eec9354fc9c4	110	[World Bank] Proportion of population covered by social assistance programs (%)	1998	2016	1	13	1.0													Q1	Quantile 1 (poorest)																																						
1	'1.3	C010301	1.3.1	SI_COV_SOCAST	99678c0897504db4b748eec9354fc9c4	110	[World Bank] Proportion of population covered by social assistance programs (%)	1998	2016	1	13	1.0													_T	Total (national average) or no breakdown																																						
1	'1.3	C010301	1.3.1	SI_COV_SOCINS	bbdf50119aff422483316e7265358d30	108	[World Bank] Proportion of population covered by social insurance programs (%)	1998	2016	1	13	1.0													_T	Total (national average) or no breakdown																																						
1	'1.3	C010301	1.3.1	SI_COV_SOCINS	bbdf50119aff422483316e7265358d30	108	[World Bank] Proportion of population covered by social insurance programs (%)	1998	2016	1	13	1.0													Q1	Quantile 1 (poorest)																																						
1	'1.3	C010301	1.3.1	SI_COV_CHLD	546e34bb75bb4d8eb7a3e3019dec956b	95	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	2016	2019	1	2	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_CHLD	546e34bb75bb4d8eb7a3e3019dec956b	1	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	2017	2017	1	1	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_CHLD	546e34bb75bb4d8eb7a3e3019dec956b	1	[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)	2017	2017	1	1	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_UEMP	234966221a744545865cdddae58d46de	96	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2000	2019	1	10	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_UEMP	234966221a744545865cdddae58d46de	43	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2011	2019	1	3	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_UEMP	234966221a744545865cdddae58d46de	43	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	2011	2019	1	3	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_VULN	7c656feb8f844d54b8c82765798b10fd	109	[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)	2016	2019	1	2	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_VULN	7c656feb8f844d54b8c82765798b10fd	2	[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)	2016	2017	1	1	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_VULN	7c656feb8f844d54b8c82765798b10fd	2	[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)	2016	2017	1	1	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_WKINJRY	dbe000581ece45f08eb8af843d488146	154	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	2003	2019	1	2	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_WKINJRY	dbe000581ece45f08eb8af843d488146	3	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	2017	2019	1	1	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_WKINJRY	dbe000581ece45f08eb8af843d488146	3	[ILO] Proportion of employed population covered in the event of work injury, by sex (%)	2017	2019	1	1	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_BENFTS	b22b2eabcb5e4ca5b68814c5edb461fe	123	[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)	2016	2019	1	3	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_BENFTS	b22b2eabcb5e4ca5b68814c5edb461fe	1	[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)	2017	2017	1	1	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_BENFTS	b22b2eabcb5e4ca5b68814c5edb461fe	1	[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)	2017	2017	1	1	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_DISAB	1ccf5e08186148ecbe02dcefc2f0551e	103	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	2013	2019	1	5	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_DISAB	1ccf5e08186148ecbe02dcefc2f0551e	36	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	2013	2019	1	3	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_DISAB	1ccf5e08186148ecbe02dcefc2f0551e	36	[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)	2013	2019	1	3	1.0	F	Female																																																		
1	'1.3	C010301	1.3.1	SI_COV_LMKT	7cd5ef834d5048b2abf4b443d6b97c4c	60	[World Bank] Proportion of population covered by labour market programs (%)	2002	2016	1	8	1.0													_T	Total (national average) or no breakdown																																						
1	'1.3	C010301	1.3.1	SI_COV_LMKT	7cd5ef834d5048b2abf4b443d6b97c4c	60	[World Bank] Proportion of population covered by labour market programs (%)	2002	2016	1	8	1.0													Q1	Quantile 1 (poorest)																																						
1	'1.3	C010301	1.3.1	SI_COV_PENSN	2d8f6d7aef9a493d829a6619e9219029	183	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	1996	2019	1	5	1.0	_T	Both sexes																																																		
1	'1.3	C010301	1.3.1	SI_COV_PENSN	2d8f6d7aef9a493d829a6619e9219029	57	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	2008	2019	1	3	1.0	M	Male																																																		
1	'1.3	C010301	1.3.1	SI_COV_PENSN	2d8f6d7aef9a493d829a6619e9219029	56	[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)	2013	2019	1	3	1.0	F	Female																																																		
1	'1.4	C010401	1.4.1	SP_ACS_BSRVH2O	da7d9e13a45b4734b5eef4b8355cdb6c	171	Proportion of population using basic drinking water services, by location (%)	2000	2017	6	18	1.0					R	Rural																																														
1	'1.4	C010401	1.4.1	SP_ACS_BSRVH2O	da7d9e13a45b4734b5eef4b8355cdb6c	228	Proportion of population using basic drinking water services, by location (%)	2000	2017	6	18	1.0					_T	All areas																																														
1	'1.4	C010401	1.4.1	SP_ACS_BSRVH2O	da7d9e13a45b4734b5eef4b8355cdb6c	178	Proportion of population using basic drinking water services, by location (%)	2000	2017	7	18	1.0					U	Urban																																														
1	'1.4	C010401	1.4.1	SP_ACS_BSRVSAN	1df36f26cad44482b56e0f6e5ad471dd	176	Proportion of population using basic sanitation services, by location (%)	2000	2017	7	18	1.0					U	Urban																																														
1	'1.4	C010401	1.4.1	SP_ACS_BSRVSAN	1df36f26cad44482b56e0f6e5ad471dd	224	Proportion of population using basic sanitation services, by location (%)	2000	2017	7	18	1.0					_T	All areas																																														
1	'1.4	C010401	1.4.1	SP_ACS_BSRVSAN	1df36f26cad44482b56e0f6e5ad471dd	170	Proportion of population using basic sanitation services, by location (%)	2000	2017	7	18	1.0					R	Rural																																														
1	'1.5	C200303	1.5.1	VC_DSR_MISS	5cb38f7113cf4a52aad018af2e667a78	77	Number of missing persons due to disaster (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_AFFCT	4c08159ed0b24a71b65a25c3024903ef	132	Number of people affected by disaster (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_MORT	814909cf93b04c66a37f8930ddbdccdc	138	Number of deaths due to disaster (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_MTMP	5424ec7cd435432db10d7604dbaba0fc	140	Number of deaths and missing persons attributed to disasters per 100,000 population (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_MTMN	d99cd03855094cc49318baaf9ee8243c	140	Number of deaths and missing persons attributed to disasters (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_DAFF	e4cb0f8662764f528c81ada0cde44f72	132	Number of directly affected persons attributed to disasters per 100,000 population (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_IJILN	ec672d7165a143bf986d0f6d50d11615	124	Number of injured or ill people attributed to disasters (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_PDAN	502b2570368e4249a851b9ae506af83c	123	Number of people whose damaged dwellings were attributed to disasters (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_PDYN	16a00f7cc2164f0c801b23fa0e521dde	114	Number of people whose destroyed dwellings were attributed to disasters (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C200303	1.5.1	VC_DSR_PDLN	647e70a373f945749f7aaf0bc808c8eb	97	Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_GDPLS	7b5f4f7fc26b4bb48eb1798864a04110	122	Direct economic loss attributed to disasters (current United States dollars)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_LSGP	e3adb2406c2e452b81c3654e276fc5ca	121	Direct economic loss attributed to disasters relative to GDP (%)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_AGLN	3313f3759366416e8be531f6bb650faf	93	Direct agriculture loss attributed to disasters (current United States dollars)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_HOLN	9634481045a6472db316030879e32bda	118	Direct economic loss in the housing sector attributed to disasters (current United States dollars)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_CILN	e65c18d61d33416b8cc16a6e78785d43	92	Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars)	2005	2019	1	15	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_CHLN	08eaee136a3c49e3b41c5928739bf863	17	Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars)	2005	2019	1	13	0.0																																																				
1	'1.5	C010502	1.5.2	VC_DSR_DDPA	69f0ebd85d0f44648803c328b5b670bc	28	Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars)	2005	2019	1	15	0.0																																																				
1	'1.5	C200304	1.5.3	SG_DSR_LGRGSR	70d01fc6660b48a68967544421d3a05a	93	Score of adoption and implementation of national DRR strategies in line with the Sendai Framework	2015	2019	1	5	0.0																																																				
1	'1.5	C200305	1.5.4	SG_DSR_SILS	75b891eaa8944c64a1348db2b2ddc2de	82	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)	2015	2019	1	5	0.0																																																				
1	'1.5	C200305	1.5.4	SG_DSR_SILN	77ad561608f04acfa65494c0e8767a04	84	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	2015	2019	1	5	0.0																																																				
1	'1.5	C200305	1.5.4	SG_GOV_LOGV	f949aeeb43f14212822789368e9ca304	87	Number of local governments (number)	2015	2019	1	5	0.0																																																				
1	'1.a	C010a02	1.a.2	SD_XPD_ESED	d6eb429db59545729ed88b68410fa480	181	Proportion of total government spending on essential services, education (%)	2000	2019	1	20	0.0																																																				
2	'2.1	C020101	2.1.1	SN_ITK_DEFC	f02b373c43394a63b5931e5f96b6f655	155	Prevalence of undernourishment (%)	2001	2018	11	18	0.0																																																				
2	'2.1	C020101	2.1.1	SN_ITK_DEFCN	b828980e54784cd097e9450055dec2f0	155	Number of undernourish people (millions)	2001	2018	11	18	0.0																																																				
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSI	43c861e7e32743949790184611ef8cfc	109	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	1	4	2.0	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSI	43c861e7e32743949790184611ef8cfc	103	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	4	4	2.0	M	Male	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSI	43c861e7e32743949790184611ef8cfc	103	Prevalence of moderate or severe food insecurity in the adult population (%)	2015	2018	4	4	2.0	F	Female	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSIN	970f97af7a6d4a79821b0fa22e888882	109	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	2.0	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSIN	970f97af7a6d4a79821b0fa22e888882	103	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	2.0	M	Male	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESMSIN	970f97af7a6d4a79821b0fa22e888882	103	Total population in moderate or severe food insecurity (thousands of people)	2015	2018	1	4	2.0	F	Female	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSI	794ea919a22d49d6ad872d671233a5e6	108	Prevalence of severe food insecurity in the adult population (%)	2015	2018	1	4	2.0	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSI	794ea919a22d49d6ad872d671233a5e6	103	Prevalence of severe food insecurity in the adult population (%)	2015	2018	4	4	2.0	F	Female	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSI	794ea919a22d49d6ad872d671233a5e6	103	Prevalence of severe food insecurity in the adult population (%)	2015	2018	4	4	2.0	M	Male	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSIN	4fafa955701c462dbbdb93d38a83f765	109	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	2.0	_T	Both sexes	_T	All age ranges or no breaks by age																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSIN	4fafa955701c462dbbdb93d38a83f765	103	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	2.0	F	Female	Y_GE15	15 years old and over																																																
2	'2.1	C020102	2.1.2	AG_PRD_FIESSIN	4fafa955701c462dbbdb93d38a83f765	103	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	2.0	M	Male	Y_GE15	15 years old and over																																																
2	'2.2	C020201	2.2.1	SH_STA_STUNT	5a63ad2e92ff4a3491d8aaf9794f4fbe	146	Proportion of children moderately or severely stunted (%)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.2	C020201	2.2.1	SH_STA_STUNTN	740994e9fd5d42da9470940d406e0007	146	Children moderately or severely stunted (thousands)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.2	C020202	2.2.2	SH_STA_WASTE	492afdc8d9ac4b23a282e31d9aa4b817	145	Proportion of children moderately or severely wasted (%)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.2	C020202	2.2.2	SH_STA_WASTEN	5dc4b58c37a04fd5a1aff7fd4269c1bb	145	Children moderately or severely wasted (thousands)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.2	C020202	2.2.2	SH_STA_OVRWGT	b5fb26ce076d4b40a1ff1aab760a8bbb	144	Proportion of children moderately or severely overweight (%)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.2	C020202	2.2.2	SH_STA_OVRWGTN	04fb88034f964dc388d358fc40e5b020	144	Children moderately or severely overweight (thousands)	2000	2019	1	17	1.0			Y0T4	under 5 years old																																																
2	'2.3	C020301	2.3.1	PD_AGR_SSFP	3ad8ad2b89af470b98e910634a09e42e	11	Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)	2005	2016	1	4	0.0																																																				
2	'2.3	C020302	2.3.2	SI_AGR_SSFP	eacb00bc7a5b482c9516545add368075	38	Average income of small-scale food producers, PPP (constant 2011 international $)	2004	2016	1	4	0.0																																																				
2	'2.5	C020501	2.5.1	ER_GRF_ANIMRCNTN	1bba2dc9d506413a82c677cfd12f6dee	184	Number of local breeds for which sufficient genetic resources are stored for reconstitution	2010	2019	10	10	0.0																																																				
2	'2.5	C020501	2.5.1	ER_GRF_PLNTSTOR	802b621a46bf40eb9a2c8f6e4790b372	103	Plant breeds for which sufficient genetic resources are stored (number)	1995	2019	10	10	0.0																																																				
2	'2.5	C020503	2.5.2	ER_RSK_LBREDS	f575fc947b2046e29b3dc64686a69ee8	77	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2000	2019	2	20	0.0																																																				
2	'2.a	C020a01	2.a.1	AG_PRD_ORTIND	344952fbc4f84663a34aa2d6eec236f3	200	Agriculture orientation index for government expenditures	2001	2018	1	18	0.0																																																				
2	'2.a	C020a01	2.a.1	AG_PRD_AGVAS	48ea3381d3464cb1b824d1dd7e0459af	147	Agriculture value added share of GDP (%)	2001	2018	1	18	0.0																																																				
2	'2.a	C020a01	2.a.1	AG_XPD_AGSGB	308afda940eb43afb126bfb14030ddc5	200	Agriculture share of Government Expenditure (%)	2001	2018	1	18	0.0																																																				
2	'2.a	C020a02	2.a.2	DC_TOF_AGRL	3d63cd7f64c949dd9fcb969bdf21a258	155	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2018 United States dollars)	2000	2018	2	19	0.0																																																				
2	'2.b	C020b02	2.b.1	AG_PRD_XSUBDY	cc3b9b1f98754c4d83a2d7d0e7f99273	33	Agricultural export subsidies (millions of current United States dollars)	1995	2018	4	24	0.0																																																				
2	'2.c	C020c01	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	64	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0									CPC2_1_113	Rice																																										
2	'2.c	C020c01	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	51	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0									CPC2_1_112	Maize																																										
2	'2.c	C020c01	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	45	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	1	2	1.0									CPC2_1_111	Wheat																																										
2	'2.c	C020c01	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	10	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	2	2	1.0									CPC2_1_118	Millet																																										
2	'2.c	C020c01	2.c.1	AG_FPA_COMM	7739cdbfc164403e9654ab317847901a	16	Indicator of Food Price Anomalies (IFPA), by type of product	2016	2017	2	2	1.0									CPC2_1_114	Sorghum																																										
2	'2.c	C020c01	2.c.1	AG_FPA_CFPI	484cad4739e24104a3bdc5cde6973351	160	Consumer Food Price Index	2016	2017	1	2	0.0																																																				
3	'3.1	C030101	3.1.1	SH_STA_MMR	b7e5eecaaddb495f93d30f8a7e0f75d4	185	Maternal mortality ratio	2000	2017	18	18	0.0																																																				
3	'3.1	C030102	3.1.2	SH_STA_BRTC	e25ad059dcc44372a68c3431b0f8c8a2	188	Proportion of births attended by skilled health personnel (%)	1980	2019	1	39	0.0																																																				
3	'3.2	C030201	3.2.1	SH_DYN_IMRTN	87906528f0ea45d7b76ae86a6d1d86bd	195	Infant deaths (number)	2000	2018	19	19	2.0	F	Female	Y0	under 1 year old																																																
3	'3.2	C030201	3.2.1	SH_DYN_IMRTN	87906528f0ea45d7b76ae86a6d1d86bd	195	Infant deaths (number)	2000	2018	19	19	2.0	_T	Both sexes	Y0	under 1 year old																																																
3	'3.2	C030201	3.2.1	SH_DYN_IMRTN	87906528f0ea45d7b76ae86a6d1d86bd	195	Infant deaths (number)	2000	2018	19	19	2.0	M	Male	Y0	under 1 year old																																																
3	'3.2	C030201	3.2.1	SH_DYN_MORT	9052901d7f0946eca284218f313f6600	195	Under-five mortality rate, by sex (deaths per 1,000 live births)	2000	2018	19	19	2.0	M	Male	Y0T4	under 5 years old																																																
