n_countries	series	seriesDescription	min_year	max_year	min_n_years	max_n_years	n_disaggregations	sex_desc	sex_code	age_desc	age_code	location_desc	location_code	observationStatus_desc	observationStatus_code	educationLevel_desc	educationLevel_code	typeOfProduct_desc	typeOfProduct_code	typeOfSkill_desc	typeOfSkill_code	quantile_desc	quantile_code	modeOfTransportation_desc	modeOfTransportation_code	typeOfOccupation_desc	typeOfOccupation_code	causeOfDeath_desc	causeOfDeath_code	typeOfSpeed_desc	typeOfSpeed_code	policyDomains_desc	policyDomains_code	parliamentaryCommittees_desc	parliamentaryCommittees_code	nameOfInternationalInstitution_desc	nameOfInternationalInstitution_code	migratoryStatus_desc	migratoryStatus_code	levelStatus_desc	levelStatus_code	disabilityStatus_desc	disabilityStatus_code	typeOfWasteTreatment_desc	typeOfWasteTreatment_code	substanceUseDisorders_desc	substanceUseDisorders_code	samplingStations_desc	samplingStations_code	policyInstruments_desc	policyInstruments_code	nameOfNonCommunicableDisease_desc	nameOfNonCommunicableDisease_code	ihrCapacity_desc	ihrCapacity_code	groundsOfDiscrimination_desc	groundsOfDiscrimination_code	cities_desc	cities_code	activity_desc	activity_code
103	AG_PRD_FIESSIN	Total population in severe food insecurity (thousands of people)	2015	2018	1	4	3.0	Male	M	15 years old and over	Y_GE15			Normal value	A																																														
108	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	2015	2018	1	4	3.0	Both sexes	_T	All age ranges or no breaks by age	_T			Normal value	A																																														
103	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	2015	2018	4	4	3.0	Female	F	15 years old and over	Y_GE15			Normal value	A																																														
103	AG_PRD_FIESSI	Prevalence of severe food insecurity in the adult population (%)	2015	2018	4	4	3.0	Male	M	15 years old and over	Y_GE15			Normal value	A																																														
147	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	2001	2018	1	18	1.0							Normal value	A																																														
53	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	2018	2018	1	1	1.0							Imputed value (CCSA definition)	I																																														
33	AG_PRD_XSUBDY	Agricultural export subsidies (millions of current United States dollars)	1995	2018	4	24	0.0																																																						
147	AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	2001	2018	1	18	1.0							Normal value	A																																														
53	AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	2018	2018	1	1	1.0							Imputed value (CCSA definition)	I																																														
190	BX_TRF_PWKR	Volume of remittances (in United States dollars) as a proportion of total GDP (%)	1990	2018	2	29	0.0																																																						
156	DC_FTA_TOTAL	Total official development assistance (gross disbursement) for technical cooperation (millions of 2018 United States dollars)	2000	2018	3	19	0.0																																																						
28	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor countries (millions of constant 2018 United States dollars)	2002	2018	6	17	0.0																																																						
153	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars)	2002	2018	1	17	0.0																																																						
29	DC_ODA_LDCG	Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)	2000	2018	11	19	0.0																																																						
29	DC_ODA_LDCS	Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2018 United States dollars)	2000	2018	19	19	0.0																																																						
29	DC_ODA_LLDCG	Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor countries (%)	2000	2018	11	19	0.0																																																						
29	DC_ODA_LLDC	Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor countries (millions of constant 2018 United States dollars)	2000	2018	19	19	0.0																																																						
29	DC_ODA_SIDSG	Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)	2000	2018	11	19	0.0																																																						
29	DC_ODA_SIDS	Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries (millions of constant 2018 United States dollars)	2000	2018	19	19	0.0																																																						
29	DC_ODA_TOTGGE	Official development assistance (ODA) as a percentage of OECD-DAC donors' GNI on grant equivalent basis, by donor countries (%)	2018	2019	2	2	0.0																																																						
29	DC_ODA_TOTG	Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%)	2000	2017	13	18	0.0																																																						
29	DC_ODA_TOTLGE	Official development assistance (ODA) from OECD-DAC countries on grant equivalent basis, by donor countries (millions of constant 2018 United States dollars)	2018	2019	2	2	0.0																																																						
29	DC_ODA_TOTL	Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2018 United States dollars)	2000	2019	15	20	0.0																																																						
155	DC_TOF_AGRL	Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2018 United States dollars)	2000	2018	2	19	0.0																																																						
154	DC_TOF_HLTHL	Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2018 United States dollars)	2000	2018	1	19	0.0																																																						
149	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2018 United States dollars)	2010	2018	1	9	0.0																																																						
156	DC_TOF_INFRAL	Total official flows for infrastructure, by recipient countries (millions of constant 2018 United States dollars)	2000	2018	1	19	0.0																																																						
151	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)	2006	2018	1	13	0.0																																																						
29	DC_TOF_TRDCMDL	Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2018 United States dollars)	2005	2018	4	14	0.0																																																						
145	DC_TOF_TRDCML	Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2018 United States dollars)	2005	2018	8	14	0.0																																																						
29	DC_TOF_TRDDBMDL	Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2018 United States dollars)	2006	2018	5	13	0.0																																																						
145	DC_TOF_TRDDBML	Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2018 United States dollars)	2006	2018	8	13	0.0																																																						
155	DC_TOF_WASHL	Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2018 United States dollars)	2000	2018	1	19	0.0																																																						
48	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	2000	2018	2	19	0.0																																																						
156	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	2000	2018	3	19	0.0																																																						
120	DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	1990	2018	2	29	0.0																																																						
190	EG_EGY_CLEAN	Proportion of population with primary reliance on clean fuels and technology (%)	2000	2018	19	19	0.0																																																						
198	EG_EGY_PRIM	Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP)	2000	2017	5	18	0.0																																																						
214	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	1990	2017	7	28	1.0					All areas	_T																																																
214	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	1990	2017	7	28	1.0					Urban	U																																																
214	EG_ELC_ACCS	Proportion of population with access to electricity, by urban/rural (%)	1990	2017	7	28	1.0					Rural	R																																																
227	EG_FEC_RNEW	Renewable energy share in the total final energy consumption (%)	2000	2017	6	18	0.0																																																						
142	EG_IFF_RANDN	International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2017 United States dollars)	2000	2017	1	18	0.0																																																						
159	EG_TBA_H2COAQ	Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)	2017	2018	1	1	0.0																																																						
183	EG_TBA_H2CORL	Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%)	2017	2018	1	1	0.0																																																						
158	EG_TBA_H2CO	Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)	2017	2018	1	1	0.0																																																						
141	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	2000	2017	6	18	0.0																																																						
140	EN_ATM_CO2MVA	Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2010 United States dollars)	2000	2017	6	18	0.0																																																						
141	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2000	2017	6	18	0.0																																																						
194	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	2016	2016	1	1	1.0					All areas	_T																																																
190	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	2016	2016	1	1	1.0					Urban	U																																																
179	EN_EWT_GENPCAP	Electronic waste generated, per capita (Kg)	2000	2019	20	20	0.0																																																						
179	EN_EWT_GENV	Electronic waste generated (Tonnes)	2000	2019	20	20	0.0																																																						
75	EN_EWT_RCYPCAP	Electronic waste recycling, per capita (Kg)	2010	2019	2	10	0.0																																																						
69	EN_EWT_RCYR	Electronic waste recycling, rate (%)	2011	2018	1	1	0.0																																																						
75	EN_EWT_RCYV	Electronic waste recycling (Tonnes)	2010	2019	2	10	0.0																																																						
33	EN_H2O_GRAMBQ	Proportion of groundwater bodies with good ambient water quality (%)	2017	2017	1	1	0.0																																																						
40	EN_H2O_OPAMBQ	Proportion of open water bodies with good ambient water quality (%)	2017	2017	1	1	0.0																																																						
44	EN_H2O_RVAMBQ	Proportion of river water bodies with good ambient water quality (%)	2017	2017	1	1	0.0																																																						
48	EN_H2O_WBAMBQ	Proportion of bodies of water with good ambient water quality (%)	2017	2017	1	1	0.0																																																						
90	EN_HAZ_GENGDP	Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)	2000	2017	1	17	0.0																																																						
95	EN_HAZ_GENV	Hazardous waste generated (Tonnes)	2000	2017	1	18	0.0																																																						
95	EN_HAZ_PCAP	Hazardous waste generated, per capita (Kg)	2000	2017	1	18	0.0																																																						
68	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	2000	2017	1	18	1.0																																					Incineration	WT_INCINRT																
69	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	2000	2017	1	18	1.0																																					Landfilling	WT_LANDFIL																
63	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	2000	2017	1	18	1.0																																					Recycling	WT_RECYCL																
76	EN_HAZ_TRTDISR	Hazardous waste treated or disposed, rate (%)	2000	2017	1	18	0.0																																																						
82	EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	2000	2017	1	18	0.0																																																						
125	EN_LND_SLUM	Proportion of urban population living in slums (%)	1990	2018	2	8	0.0																																																						
185	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Crop residues	MF121																																										
119	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	1	18	1.0											Coal	MF41																																										
186	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Biomass	MF1																																										
182	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	4	18	1.0											Non-metallic minerals - construction dominant	MF_AGG3A																																										
186	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Total or no breakdown	_T																																										
180	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	3	18	1.0											Non-metallic minerals - industrial or agricultural dominant	MF_AGG3B																																										
145	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	3	18	1.0											Petroleum	MF421																																										
186	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Wood	MF13																																										
183	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Non-metallic minerals	MF3																																										
186	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Wild catch and harvest	MF14																																										
115	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Natural gas	MF422																																										
182	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	5	18	1.0											Grazed biomass and fodder crops	MF122																																										
153	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	3	18	1.0											Fossil fuels	MF4																																										
174	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	1	18	1.0											Ferrous ores	MF21																																										
185	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	6	18	1.0											Crops	MF11																																										
178	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	1	18	1.0											Non-ferrous ores	MF22																																										
179	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	1	18	1.0											Metal ores	MF2																																										
3	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	2000	2017	18	18	1.0											Oil shale and tar sands	MF413																																										
185	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Crop residues	MF121																																										
119	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	1	18	1.0											Coal	MF41																																										
182	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	4	18	1.0											Non-metallic minerals - construction dominant	MF_AGG3A																																										
186	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Biomass	MF1																																										
186	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Total or no breakdown	_T																																										
180	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	3	18	1.0											Non-metallic minerals - industrial or agricultural dominant	MF_AGG3B																																										
145	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	3	18	1.0											Petroleum	MF421																																										
186	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Wood	MF13																																										
183	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Non-metallic minerals	MF3																																										
186	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Wild catch and harvest	MF14																																										
182	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	5	18	1.0											Grazed biomass and fodder crops	MF122																																										
115	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Natural gas	MF422																																										
153	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	3	18	1.0											Fossil fuels	MF4																																										
174	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	1	18	1.0											Ferrous ores	MF21																																										
185	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	6	18	1.0											Crops	MF11																																										
179	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	1	18	1.0											Metal ores	MF2																																										
178	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	1	18	1.0											Non-ferrous ores	MF22																																										
3	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	2000	2017	18	18	1.0											Oil shale and tar sands	MF413																																										
180	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	3	18	1.0											Non-metallic minerals - industrial or agricultural dominant	MF_AGG3B																																										
186	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Biomass	MF1																																										
186	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Total or no breakdown	_T																																										
185	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Crop residues	MF121																																										
119	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	1	18	1.0											Coal	MF41																																										
183	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Non-metallic minerals	MF3																																										
186	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Wild catch and harvest	MF14																																										
145	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	3	18	1.0											Petroleum	MF421																																										
182	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	4	18	1.0											Non-metallic minerals - construction dominant	MF_AGG3A																																										
186	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Wood	MF13																																										
182	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	5	18	1.0											Grazed biomass and fodder crops	MF122																																										
178	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	1	18	1.0											Non-ferrous ores	MF22																																										
179	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	1	18	1.0											Metal ores	MF2																																										
115	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Natural gas	MF422																																										
185	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	6	18	1.0											Crops	MF11																																										
153	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	3	18	1.0											Fossil fuels	MF4																																										
174	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	1	18	1.0											Ferrous ores	MF21																																										
3	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	2000	2017	18	18	1.0											Oil shale and tar sands	MF413																																										
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2009	2009	1	1	1.0																																																			Varna	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2011	2011	1	1	1.0																																																			Sofia	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2007	2007	1	1	1.0																																																			Minsk	C01		
10	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2008	2015	1	1	1.0																																																			All areas or breakdown by cities not available	_T		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2009	2009	1	1	1.0																																																			Algiers	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2009	2009	1	1	1.0																																																			Yaounde	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2015	2015	1	1	1.0																																																			Toronto	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2015	2015	1	1	1.0																																																			Montreal	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2012	2012	1	1	1.0																																																			Praia	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2007	2007	1	1	1.0																																																			Dehiwala-Mount Lavinia	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2007	2007	1	1	1.0																																																			Moratuwa	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Antofagasta, Antofagasta	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Valparaiso, Valparaiso	C09		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Valparaiso, Valparaiso	VALPARAISO_VALPARAISO		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Tarapaca, Arica	C08		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Tarapaca, Arica	TARAPACA_ARICA		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Santiago, Santiago	C07		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Santiago, Providencia	C06		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Magallanes, Punta Arenas	C05		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Los Lagos, Puerto Montt	C04		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Los Lagos, Osorno	C03		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Coquimbo, Coquimbo	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2009	2009	1	1	1.0																																																			Canet	C10		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2008	2008	1	1	1.0																																																			Kunming	C01		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2018	2018	1	1	1.0																																																			Suzhou	C03		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2018	2018	1	1	1.0																																																			Lanzhou	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Itagui	C10		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Itagui	ITAGUI		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Dosquebradas	C09		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Cucuta	C08		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Cucuta	CUCUTA		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Pereira	C13		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Neiva	C12		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Bucaramanga	C03		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Bogota	C02		
1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	2001	2001	1	1	1.0																																																			Bogota	BOGOTA		
